,,,Straßenverkehrsgesetz (StVG),Straßenverkehrsordnung (StVO),Fahrerlaubnisverordnung (FeV) und,Straßenverkehrszulassungsordnung (StVZO),,,
,,,,StVO regelt öffentlicher Verkehr. Grundregel - die Teilnahme am Straßenverkehr erfordert ständige Vorsich,,StVZO regelt die Teilnahme von Personen im allgemeinen und bestimmt ab wann eine Zulassung Einschränkung oder Entziehung der Zulassung erfolgen kan,,,
,,,,,Jeder Verkehrsteilnehmer hat sich so zu verhalten dass kein anderer geschädigt gefährdet behindert oder belästigt wird.,,,,
,,,wenn der Fahrer einen Taxi führen soll muss er die Ortskenntnisse im Pflichtfahrbereich nachzuweisen,,wenn der Fahrer einen Mietwagen führen soll muss er die Ortskenntnisse des Ortes nachweisen an dem der Betriebssitz ist (gilt nur in Orten mit mehr als 50.000 Ein.,,,,
,,,,allgemeine Fahrerlaubnis unbefristet erteilt,,,• Fahrerlaubnis zur Fahrgastbeförderung für 5 Jahre erteilt,,
,,,muss Führerschein Klasse B seit 2 Jahren haben oder nachweisen dass er einen Führerschein innerhalb der letzten 5 Jahre besessen hat,,muss 21 Jahr alt sein (Krankenwagen - 19 Jahre alt),muss geistig und körperlich geeignet sein ( durch ein amtsärztliches Attest),,muss bestimmte Anforderungen an das Sehvermögen erfüllen (durch ein augenärztliches Attest),muss die erforderlichen Ortskenntnisse nachweisen
,,,,sich ärztlich untersuchen lässt ob Krankheiten sind welche die Eignung zur Fahrgastbeförderung mit Taxi oder Mietwagen ausschließen.,,bestimmte Anforderungen an das Sehvermögen durch augenärztliches Attest nachgewiesen sind,•keine Tatsachen dürfen die Annahme rechtfertigen dass der Bewerber um eine Verlängerung der Fahrerlaubnis zur Fahrgastbeförderung nicht die Gewähr bietet dass er der besonderen Verantwortung bei der Beförderung von Fahrgästen gerecht wird,,
,,,Er muss die erforderlichen Ortskenntnisse für das Gebiet in dem er tätig wird nachweisen.,,,,,,
,,,,,Von erstem Einsatz des Kfz als Taxi- und Mietwagen und wenn solches Kfz länger als 1 Jahr außer Betrieb war muss es einer anerkannten Prüfstelle zur sog. „Außerordentlichen Hauptuntersuchung“ vorgeführt werden. Es werden nicht nur die Bestimmungen der StVZO sondern auch die Bestimmungen der BOKraft überprüft,,ein fabrikneues Fahrzeug wird nur die Bestimmungen der BOKraft überprüft,entsprechende Genehmigung nach PBefG vorliegen muss,
,,,,In der Fahrerlaubnisverordnung (Fahrpersonalverordnung).,,,,,
,,,,,Mit Ende des Monates welcher auf ihr notiert ist,,,,
,,,,,,,Der Fahrzeughalter und der Fahrzeugführer,,
,,,,,,,Mindestens 16 mm,,
,,,,,,Die Warnweste muss mitgeführt werden der Feuerlöscher nicht.,,,Mindestens 16 mm.
,,,,,Bei Sichtweiten unter 50 m.,,,,
,,,,,,,Maximal auf allen Straße 50 km/h.,,
,,,,,Abstand vom vorausfahrenden Fahrzeug muss so groß sein dass auch dann hinter ihm gehalten werden kann wenn plötzlich gebremst wird.,,,,
,,,,Vor Einnahme der Medikamente sollte der Beipackzettel der Medikamente gelesen werden ob die Fahrtüchtigkeit beeinflusst wird.,,,,,
,,,,,,Wer bin ich wo bin ich was ist passiert und wie viel Verletzte gibt es!,,,
,,,,Zeugen festhalten,,Skizze machen,Foto machen,• Kreidezeichnungen auf der Fahrbahn.,
,,,Verbandskasten,Warnweste,Warnblinkanlage,Warndreieck,,,
,,,,,,Anti-Blockier-System! Es sorgt dafür dass beim starken Bremsen die Reifen nicht blockieren,,,
,,,,,• Reifendruck prüfen,,• Licht kontrollieren,Bremstest,• Warnblickanlage ausprobieren.
,,,,,,,Ja wer ein Taxi einen Mietwagen einen Krankenkraftwagen oder einen Pkw im Linienverkehr oder bei gewerbsmäßigen Ausflugsfahrten oder Ferienziel-Reisen führt bedarf einer zusätzlichen Erlaubnis der Verwaltungsbehörde wenn in diesen Kfz mind. 1 Fahrgast befördert wir,,
,,,,,Entziehung der Fahrerlaubnis,,• vorläufige Entziehung der Fahrerlaubnis und,Fahrverbot,
,,,•Entzug der Fahrerlaubnis kann von der Verwaltungsbehörde und von einem Gericht ausgesprochen werden ebenso ein Fahrverbot,,,,vorläufige Entziehung der Fahrerlaubnis kommt nur durch den Richter in Betracht.,,
,,,,,Wenn sich jemand als ungeeignet zum Führen von Kfz erwiesen hat,,,,
,,,,wer sonst gegen verkehrsrechtliche Vorschriften oder Straßengesetze erheblich verstoßen hat.,,• wer wegen körperlicher oder geistiger Mängel ein Kfz nicht sicher führen kann,,wer unter erheblicher Wirkung geistiger Getränke oder anderer berauschender Mittel am Verkehr teilgenommen,
,,,,Wenn der Kraftfahrer die Straftatbestände einer Gefährdung des Straßenverkehrs oder der Trunkenheit im Verkehr der Verkehrsunfallflucht oder einer Rauschtat die sich auf die o.g. strafbaren Handlungen bezieht erfüllt hat,,,,,
,,,,,Nein sie wird ebenfalls entzogen.,,,,
,,,,,,Das Fahrzeug muss verkehrssicher sein und während des Einsatzes verkehrssicher bleiben.,,,
,,,,Fahrer darf so schnell fahren dass er sein Fahrzeug ständig beherrscht,Die zulässige Höchstgeschwindigkeit beträgt • innerhalb geschlossener Ortschaften für alle Kfz 50 km/h,,außerhalb geschlossener Ortschaften dürfen Pkw auf Landstraßen 100 km/h fahren auf Autobahnen gibt es keine generelle Geschwindigkeitsbegrenzung,,
,,,,,an Haltestellen darf an öffentlichen Verkehrsmitteln rechts nur in mäßiger Geschwindigkeit und nur in einem solchen Abstand vorbeigefahren werden dass eine Gefährdung von Fahrgästen ausgeschlossen ist.,,Fahrgäste dürfen auch nicht behindert werden wenn nötig muss der Fahrzeugführer warten,,
,,,•darf nur mit Schrittgeschwindigkeit und mit solchem Abstand dass eine Gefährdung von Fahrgästen ausgeschlossen ist vorbeifahren.,,,Schrittgeschwindigkeit gilt auch für den Gegenverkehr auf derselben Fahrbahn.,,,
,,,,Ja weil das Zusatzschild „Taxi frei“ dies gestattet.,,,,,
,,,,,Taxen dürfen zwar grundsätzlich auf Sonderfahrstreifen der Omnibusse zugelassen werden,•dies gilt aber nicht wenn hierdurch der Linienverkehr gestört würde.,es gilt auch nicht für Sonderstreifen für Linienomnibusse im Gleisraum von Schienenfahrzeugen.,Ein- und Aussteigen von Fahrgästen ist bei Benutzung von Bus-Sonderspuren nur an den Haltestellen erlaubt,
,,,• das Halten in 2. Reihe z. Ein- und Aussteigenlassen von Fahrgästen ist erlaubt soweit es die Verkehrslage zulässt.,,,der Fahrer darf auch aussteigen um den Fahrgästen z.B. beim Koffertragen behilflich zu sein oder diese von der Haustüre abzuholen,,,
,,,,Diese hat unverzüglich zu beseitigen und sie bis dahin ausreichend kenntlich zu machen.,,,,,
,,,,,Jeder ist Beteiligt dessen Verhalten nach den Umständen zum Unfall beigetragen haben kann.,,,,
,,,,,,,Jeder Beteiligte hat sofort zu halten sich über die Unfallfolgen zu vergewissern und den Verkehr zu sichern,,
,,,Wenn sich jemand nach einem Verkehrsunfall der Fest,,,,,stellung seiner Person seines Kfz oder der Art seiner Beteiligung an dem Unfall vorsätzlich durch Flucht entzieht obwohl nach den Umständen infrage kommt dass sein Verhalten zur Verursachung des Unfalles beigetragen hat.,
,,,Die Unfallverhütungsvorschrift schreibt vor dass Taxen und Mietwagen mit geeigneter Warnkleidung (Warnweste oder Warnjacke) für „wenigstens einen Versicherten“ also den Fahrer mitzuführen sind,,,,,,
,,,,,Bei Instandsetzungsarbeiten am Fahrzeug und bei Abschlepp- oder Bergungsarbeiten auf öffentlichen Straßen im Gefahrenbereich des fließenden Verkehrs,,Bei anderen Tätigkeiten am Fahrzeug z.B. dem Aufziehen von Schneeketten in vergleichbarer Örtlichkeit,,
,,,,Vorgeschrieben ist eine Mindest-Profiltiefe von 16 mm,,Bei Sommerreifen sollten allerdings aus Fahrsicherheitsgründen die 20 mm keineswegs unterschritten werden,,bei Winterreifen ist bereits unter 40 mm die Tauglichkeit bei problematischen Straßengegebenheiten wie Schnee deutlich eingeschränkt.,
,,,Feigen ohne Beschädigung,,Radmuttern fest und unbeschädigt,Reifen ohne sichtbare Schäden,,Ausreichende Profiltiefe - kein Luftdruckverlust,Ventilkappen vorhanden
,,,Vertretbarer Leerweg des Bremspedals,Ausreichender Bremsflüssigkeitsstand,kein „Nachgeben“ des Bremspedals bei mehrmaligem kurz hintereinander erfolgendem starken Niedertreten.,,,,
,,,- Fahrzeug so weit rechts wie möglich abstellen,,Warnblinkanlage betätigen,,Warnkleidung anziehen,,Warndreieck in ausreichendem Abstand aufstellen (mind. 50 m).
,,,,•Er sollte den Unfall zur Vermeidung des Vorwurfs einer Obliegenheitspflichtverletzung unverzüglich dem Fahrzeugversicherer melden.,,Gegenüber der Berufsgenossenschaft für Fahrzeughaltungen besteht keine Meldeverpflichtung da sein dort gesetzlich unfallversicherter Fahrer nicht so verletzt,worden ist dass er mehr als 3 Tage arbeitsunfähig wird.,,
,,,Man muss so verhalten dass eine Gefährdung dieser Verkehrsteilnehmer ausgeschlossen ist.,,,,,,
,,,Schrittgeschwindigkeit einhalten,Fußgänger dürfen die Straße in ihrer ganzen Breite benutzen; Kinderspiele sind überall erlaubt,,man darf die Fußgänger weder gefährden noch behindern wenn nötig müssen warten,die Fußgänger dürfen den Fahrverkehr nicht unnötig behindern,• beim Ausfahren aus einem verkehrsberuhigten Bereich haben die anderen Verkehrsteilnehmer Vorrang.,
,,,,Wenn der Verkehr stockt so darf niemand in die Kreuzung oder Einmündung einfahren.,,,,,
,,,ab 03 kann mind. Bußgeldverfahren eingeleitet werden,00 Promille für alle Taxi- und Mietwagenfahrer während des Dienstes,ab 03-079 100 € Bußgeld 2 Punkten in Flensburg,ab 08-109 250 € Buggeld 4 P. 1 Mon. Fahrverbot,ab 11 Entzug der Fahrererlaubnis.,,
,,,Amtlicher Ausweis über die Person des Antragstellers • Fahrzeugbrief,,,Bestätigung über eine ausreichende KfzVersicherung.,,,
,,,,Wird erst aufgrund der Betriebserlaubnis und nach Zuteilung des Kennzeichens ausgefertigt und ausge,,,,,
,,,,,,Der Fahrzeugführer hat den Fahrzeugschein mitzuführen,,,
,,,,,Verlorene werden für ungültig erklärt • beschädigte werden entzogen.,,,,
,,,,,,Eine wichtige Urkunde,,,
,,,,Der Eigentümer muss ihn sorgfältig aufbewahren,,,,,
,,,,,,Nein.,,,
,,,,Amtliche Kennzeichen des Kfz.,,,,die Personalien für den das Kfz zugelassen ist,
,,,,,Verlust ist der Zulassungsstelle zu melden.,,,,