,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr.,,,,,,,
,,Für Unternehmen. die Fahrgäste mit Kfz oder Obussen befördern. soweit sie den Vorschriften des PBefG unterliegen,,,,,,
Vorschriften über den Betrieb (Betriebsleitung. Fahrdienst. Fahrgäste. Beförderungspflicht),Vorschriften über die Ausrüstung und Beschaffenheit der Fahrzeuge,Sondervorschriften der einzelnen Verkehrsarten.,Sondervorschriften über die Untersuchung der Fahrzeuge,,,,,
,,,,Er muss kontrollieren. dass die Vorschriften des PBefG. der BOKraft und behördlich ergangene Anordnungen. in seinem Betrieb befolgt werden,der Betrieb ordnungsgemäß geführt wird,sich Fahrzeuge und Betriebsanlagen in vorschriftsmäßigem Zustand befinden,nur Fahrpersonal eingesetzt wird. das grundsätzlich eine sichere Beförderung gewährleistet.,
,,Bestimmungen über den Aufgabenbereich. die Verantwortlichkeit und das Verhalten des Betriebspersonals während des Dienstes und,über Maßnahmen bei Unfällen oder Betriebsstörungen.,,,,,
,,,,,ein zeitlich und örtlich dem Verkehrsbedürfnis entsprechendes Taxiangebot zu gewährleisten,,,
,,,,Ein Betriebsleiter ist ein vom Unternehmer eingesetzter Angestellter. der die Pflichten des Unternehmers wahrzunehmen hat. ohne diesen dadurch aus seiner eigenen Verantwortung für den Betrieb zu entlassen,,,,
,Wenn es die Genehmigungsbehörde anordnet.,,wenn im Unternehmen regelmäßig mehr als 10 Kfz verwendet werden oder,,wenn andere betriebliche Umstände (z.B. Niederlassungen) dafür sprechen,,,,
,Betriebsvorkommnisse. die ein öffentliches Aufsehen erregen (z.B. Unfall. Brand. Gebäudeeinsturz auf dem Betriebsgelände),,Unfälle. bei denen ein Mensch getötet oder schwer verletzt worden ist und,,Betriebsstörungen (z.B. Streik. Naturkatastrophen) im Obusverkehr und im Linienverkehr mit Kfz. die voraussichtlich länger als 24 Std. dauern,,,
,,Das Fahrpersonal hat sich rücksichtsvoll und besonnen zu verhalten.,,,,,,
,Verbot der Fahrtätigkeit bei bestimmten. übertragbaren Krankheiten (Diphtherie. Lungentuberkulose etc.),,kein Fernsehempfänger (während der Fahrt);,,Gebot eines rücksichtsvollen und besonnen Verhaltens. • Keine alkoholischen Getränke oder die Fahrtüchtigkeit beeinträchtigenden Mittel (weder während der Fahrt noch beim Fahrantritt unter ihrer Wirkung stehen),,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,
,muss nach jeder Fahrt festgestellt werden. ob Fundsachen zurückgeblieben sind,,können diese nicht sofort zurückgegeben werden. so sind sie sofort nach Feierabend im Betrieb oder an einer von der Genehmigungsbehörde benannten Stelle abzuliefern,,,,,,
,Führerschein.,Fahrerlaubnis zur Fahrgastbeförderung,Fahrzeugschein. AU-Bescheinigung,Stadtplan,Genehmigungsurkunde oder den Konzessionsauszug,Sozialversicherungsausweis mit Lichtbild,Sozialversicherungsausweis mit Lichtbild,Genehmigung für Außenwerbung,
,,Nein. Rauchverbot,,,,,,
,,,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,,,,,
,,,,Der Mietfahrer hat den verkehrsgünstigen Weg zum Fahrtziel zu wählen. wenn d. Fahrgast nichts anderes bestimmt.,,,,
,Ja. Aber darf durch die Mitnahme von Gepäckstücken die Sicherheit und Ordnung beim Betrieb des Taxis nicht gefährdet werden. Ein Anspruch auf die Beförderung von gefährlichen Stoffen oder Gegenständen besteht nicht.,,,,,,,
,,,Mindestens 50 kg,,,,,
,,,,,,Personen. die eine Gefahr für die Sicherheit und Ordnung beim Betrieb des Taxis oder für andere Fahrgäste darstellen. z.B. schwer Betrunkene oder Personen mit geladenen Schusswaffen.,Ein bereits mitgenommener Fahrgast kann von der weiteren Beförderung ausgeschlossen und zum Verlassen des Taxis aufgefordert werden. wenn er eine Gefahr darstellt,
,die Türen während der Fahrt zu öffnen,Gegenstände aus dem Fahrzeug zu werfen oder hinausragen zu lassen.,,ein als besetzt bezeichnetes Fahrzeug zu betreten,,,in einem Taxi zu rauchen.,Fernsehrundfunkempfänger zu benutzen,
,,,,,Ja. solange das Taxi nicht zur Fahrgastbeförderung bereitgehalten wird (z.B. Werkstattfahrten),,,
,,Ja. an der rechten unteren Ecke der Heckscheibe.,,,,,,
,Ja. die Alarmanlage ist das einzige Sicherheitssystem. das die BOKraft vorsieht.,,,,,,,
,die Alarmanlage muss vom Fahrersitz aus in Betrieb gesetzt werden können.,,,,,,sie muss die Hupe zum Tönen in Intervallen. die Scheinwerfer und die hinteren Fahrtrichtungsanzeiger zum Blinken bringen.,zusätzlich kann das Taxischild. auch mittels eingebauter roter Leuchtdioden. zum Blinken gebracht werden.,
,,,,2 Türen mindestens an der rechten Längsseite.,,,,
,Kinder der Gewichtsklasse 0 (0-9 kg) müssen bei Beförderungen mit dem Taxi nicht gesichert werden.,,,,,Kindern unter 12 Jahren. die kleiner als 150 cm sind nur auf den hinteren Sitzplätzen zu befördern. es sei denn. dass die hinteren Plätze bereits durch Kinder besetzt sind.,für die Beförderung von Kindern ist auf allen Sitzen eine Rückhalteeinrichtung für Kinder vorgeschrieben.,
,,hell-elfenbeinfarbigen Anstrich.,,Taxischild auf dem Dach der Taxe.,,,,
,hell-elfenbeinfarbiger Anstrich.,Taxischild (beleuchtbar).,Ordnungsnummer (in der Heckscheibe),Schild mit Namen und Betriebssitz des Unternehmens (im Wageninnern).,Fahrpreisanzeiger,Alarmanlage,Sicherheitsgurt auf allen Sitzplätzen,Nichtraucher-Taxi-Sinnbild,
,,,an der rechten unteren Ecke der Heckscheibe ist ein nach außen und innen wirkendes Schild mit Ordnungsnummer. die die Genehmigungsbehörde erteilt hat. anzubringen.,im Wageninnern ist an einer für den Fahrgast gut sichtbaren Stelle ein Schild mit Namen und Betriebssitz des Unternehmers anzubringen.,,,,
,Erste-Hilfe-Material.,,Rückhalteeinrichtung für Kinder.,,Feuerlöscher wird empfohlen. ist aber keine Pflicht.,Warnweste,Warndreieck,Wenn es die Witterungsverhältnisse erfordern. dann Winterreifen. Schneeketten. Spaten und Hacke und Abschleppseil oder -stange,
,,,Bei Unfällen oder Reparaturen auf der Straße ist die Warnweste anzuziehen,,,,,
,,,,,Auf dem Dach des Taxis ist ein von innen beleuchtbares quer zur Fahrtrichtung angebrachtes Schild zu installieren. das auf der Vorder- und Rückseite die Aufschrift TAXI enthält.,,,
,innerhalb des Pflichtfahrgebietes. wenn keine Fahrtauf- träge ausgeführt werden,,bei der Bereitstellung am Taxenstand.,Außerhalb des Geltungsbereiches,während der Durchführung eines Fahrauftrages,beim Leerfahrt zum Kunden. da ein Fahrauftrag vorliegt,,
,,Mietwagen hat keine Beförderungspflicht. deshalb kann der Fahrer schon aus dem Hausrecht dem Fahrgast das Rauchen verbieten.,,,,,,
,,,,,,Eigenwerbung ist unzulässig. Diese Vorschrift dient der Wahrung der Chancengleichheit der Unternehmer,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
,,,Der Tarifpflicht unterliegt der Gelegenheitsverkehr mit Taxen,,,,,
,,,,Innerhalb des Pflichtfahrgebietes müssen behördlich festgesetzte Beförderungsentgelte (Festpreise) erheben.,,,,
,Grundpreis für Bereitstellung,,Anfahrt und erste Teilstrecke (Anfangstrecke,,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),,Zeitpreis (Wartezeit). der verkehrsbedingt oder von Fahrgast veranlasst ist.,Zuschlägen (z.B. für die Mitnahme von Reisegepäck. Sachen oder von Tieren und besondere Kosten. wie Straßenbenutzungs- oder Tunnelbenutzungsgebühren).,
,Die Eichung ist 1 Mal im Jahr durch das Eichamt vorzunehmen. Der Unternehmer ist selbst verantwortlic,,,,,,,
,,,Nein. der Mietwagenunternehmer muss sich an keine Tarife halten.,,,,,
,,,,,das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,,der Wegstreckenzähler dient als Kotrollgerät. um dem Fahrgast die Möglichkeit der Kontrolle des zu zahlenden Entgeltes zu geben,
,,Ja. in Orten unter 50.000 Einwohnern kann für einen Pkw die Genehmigung zum Taxi- und Mietwagenverkehr beantragt und erteilt werden.,,,,,,
,Solche Fahrzeuge müssen den Vorschriften entsprechen. welche die BOKraft für Taxi und für Mietwagen vorsieht (der Farbanstrich. das Taxischild. die Ordnungsnummer. der Fahrpreisanzeiger und der Wegstreckenzähler).,,,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),wenn ein Fahrzeug gering als Mietwagen genutzt wird. kann die Genehmigungsbehörde gestatten. dass das Fahrzeug nur mit einem Fahrpreisanzeiger ausgerüstet wird. Der Fahrer muss den Fahrgast auf das Fehlen des Wegstreckenzählers und die Art der Berechnung des Beförderungsentgelts hinweisen.,,,,
,Das Taxischild und die Ordnungsnummer dürfen nicht gezeigt werden.,,,,,,,
,Nach Ablauf von 12 Monaten.,,,,,,,
,,,,,Der Untersuchungsbericht.,,,
,,,,,,,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,
,Muss festgestellt werden. dass die Kfz den BOKraft Vorschriften entsprechen.,,,Nach jeder Hauptuntersuchung hat der Unternehmer eine Ausfertigung des Untersuchungsberichtes unverzüglich der Genehmigungsbehörde vorzulegen.,,,,
,,,,,,Beim fabrikneues Fahrzeug muss nur festgestellt werden. ob die BOKraft -Vorschriften erfüllt sind.,,
,Der Unternehmer muss vor dem ersten Einsatz des Pkw im Unternehmen auf seine Kosten:,eine außerordentliche Hauptuntersuchung veranlassen u.,,den Untersuchungsbericht darüber unverzüglich der Genehmigungsbehörde vorlegen,,,,
,,,,,Vor dem ersten Einsatz des Pkw im Unternehmen.,,,
,,,Weiterleitung der Fahraufträge an Taxen durch Funk.,,Einsatz der Fahrzeuge auf dem kürzesten und kostengünstigsten Weg zur Kunden,,Entgegennahme von Vorbestellungen und termingerechter Ausführung,
,Wenn eine Taxifahrt über die Vermittlungszentrale zustande kommt. so wird der Beförderungsvertrag zwischen dem Taxiunternehmer und dem Fahrgast abgeschlossen,Auftragsannahme und Weiterleitung durch die Taxizentrale stellt die Erfüllung eines Vermittlungsvertrages dar.,,,,,,,
,,Verbesserung zwischen Besetzt- und Leerkilometern.,gibt dem Fahrpersonal größere Sicherheit.,,,,,
,Taxifunk.,,,Autotelefon,,,,
,,,,,schnelle und wirtschaftliche Ausführung von Fahraufträge und,,dient der Sicherheit. weil über Funk im Notfall schnell Hilfe geholt werden kann.,
,,,Ein Verhalten. durch das Störungen des Funkbereiches. aller Teilnehmer so gering wie möglich gehalten werden,,,,,
,,,,,,Die Genehmigung des Fernmeldeamtes ist notwendig.,,
,,,,Bei der zuständigen Außenstelle der Regulierungsbehörde für Telekommunikation und Post (RegTP).,,,,
,Straßenverkehrsamt der kreisfreien Stad,,Ordnungsamt der Gemeinde,(x) Außenstelle der Regulierungsbehörde für,,Telekommunikation und Post,Landesverkehrskehrministerium. Abt.,Frequenzzuteilung,
,das Gerät muss vom Fernmeldeamt geprüft werden.,,,in Bedürfnis muss nachgewiesen werden,,gewünschte Nachrichtenaustausch darf nicht mit Hilfe d. vorhandenen öffentlichen Fernmeldenetze möglich sein.,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein.,
,10 Kilometern.,,5 Kilometern in Großstädten mit mehr als 500.000 Einwohnern.,,,,,,
,,,Nein. aber sie können mit einer Trennwand ausgerüstet sein.,,,,,
,,,,,,Jeder über 12 Jahre alte Fahrgast.,Jeder über 12 Jahre alte Fahrgast.,
, bei Leerfahrten besteht die Gurtpflicht.,,bei Besetztfahrten nicht.,,,,,
,,Ja. jeder Unternehmer ist verpflichtet. den Betrieb ordnungsgemäß einzurichten und während der Dauer der Genehmigung nach dem Stand der Technik und den Bedürfnissen des Verkehrsordnungsgemäß aufrechtzuerhalten. Verstöße gegen die Betriebspflicht stellen einen Widerrufsgrund dar,,,,,,
,,,,,,Die Genehmigungsbehörde kann dem Unternehmer für die Aufnahme des Betriebes eine Frist setzen. Nach erfolglosem Fristablauf erlischt die Genehmigung.,,
,,,Durch Abschluss eines Beförderungsvertrages. Das Angebot geht vom Fahrgast aus (Der Fahrgast bestellt ein Taxi). Durch Annahme des Angebotes durch den Unternehmer oder seiner Erfüllungsgehilfen (Fahrer) ist der Beförderungsvertrag abgeschlossen. Vertragsparteien sind der Fahrgast und der Taxiunternehmer.,,,,,
,Welche Vertragspflichten haben der Unternehmer und der Fahrgast?,,er hat für die Unversehrtheit des Fahrgastes zu sorgen,,Die Fahrgäste haben sich so zu verhalten. dass die Sicherheit und Ordnung des Betriebes und die Rücksicht auf andere Personen gebieten,Anweisungen des Betriebspersonals ist zu folgen und,der Beförderungspreis muss entrichtet werden.,
,Er ist verpflichtet. alle Interessenten innerhalb des Pflichtfahrbereiches zu befördern. wenn die Beförderungsbedingungen eingehalten werden,,Er hat insoweit „Beförderungspflicht“.,,,,,,
,,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,,,,,,
,,,,,Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,,,
,,,,Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,,,,
,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,,,,,,,,
,Die Landesregierung oder die eingesetzte Genehmigungsbehörde bestimmt durch Rechtsverordnung die Höhe des Beförderungsentgeltes,,,,,,,
,,,,,,Darf der einzelne Taxiunternehmer von den festgesetzten Entgelten abweichen?,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,
,,,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,,,,,
,Grundpreise. Kilometerpreise. Zeitpreise und Zuschläge.,,Vorauszahlungen.,,die Abrechnung.,,die Zahlungsweise und,Sondervereinbarungen für den Pflichtfahrbereich.,
,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,,,
,,,,,,,Ist ein Taxiunternehmer verpflichtet. die Vorschriften über die Beförderungsentgelte und bedingungen mitzuführen?,
,,Nein. jeder Taxifahrer ist verpflichtet. die in einer Tarif ordnung festgesetzte Anfahrberechnung auch zu kassieren.,,,,,,
,,,Der Fahrpreis muss durch einen beleuchtbaren Fahrpreisanzeiger (Taxameter) für den Fahrgast zu erkennen sein,,,,,
,,,,Das Beförderungsentgelt. getrennt nach Fahrpreis und Zuschlägen. und anzuwendende Tarifstufe.,,,,
,,,,,,,Nein. dies ist gesetzlich verboten,
,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und behoben werden. ,,,,,
,,,,Der Taxifahrer muss den Fahrgast vor Fahrtbeginn hinweisen. dass das Beförderungsentgelt für die gesamte Fahrstrecke frei zu vereinbaren ist. weil der Pflichtfahrbereich verlassen wird.,,,,
,,,,,,Ja. Tonrundfunkempfänger und -wiedergabegeräte dürfen während der Beförderung von Fahrgästen benutzt werden,,
,Ja. das Unterhaltungsverbot gilt nicht mehr für Taxen und Mietwagen.,,,,,,,,
,Die Vermietung von Taxis an Selbstfahrer ist verboten.,,,,,,,
,,Hauptuntersuchung HU.,Abgasuntersuchung AU,,,,,
,Halter und Fahrzeugführer.,,,,,,,
,,,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,,,,,
,,,,,,,Der Unternehmer,
,,,,,,Der Fahrer muss alle notwendigen Dokumente haben.,,
,,,,Mietwagen dürfen nicht mit für Taxis vorbehaltenen Zeichen und die Merkmalen kenntlich gemacht werden,,,,
,,,Damit es keine Verwechslung mit den Taxi gibt.,,,,,
,Rückkehrpflicht.,,,Bereithalteverbot für mietwagenunternehmer,,,,
,,,Nein. Fahrgäste müssen Sicherheitsgurte anlegen. soweit sie vorhandeln sind.,,,,,
,In der Taxiordnung.,,,,,,,,
,,,,Bereithalten von Mietwagen. das zur Verwechslung mit dem Taxiverkehr führen kann. ist verboten.,,,,
,,Absprachen über Dienstbereitschaften in den Nachtstunden getroffen werden oder,,,,Bedienung eines Standplatzes nach einem für alle gültigen Einsatzplan erfolgt.,,