Was bedeutet disagio ? ,Vorauszahlung auf die Zinsen,Taxi Schild muss entfernt werden,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Was ist eine Bilanz?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Vermögensübersicht für das ganze Jahr,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Erläutern Sie die wesentlichen Merkmale einer Gewinn und Verlust Rechnung?,Ermittlung der Zahllast und Traglast,"Die Gewinn und Verlust ist die Darstellung alle Aufwendungen und Erlöse für einen bestimmten Zeitraum, in der Regel für 1 Jahr, zur Ermittlung des Erfolges eines Unternehmens",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Welche Pflichtversicherungen bestehen für ein Personenverkehrunternehmen ?,Sozialversicherungsbeitragstabelle,Kfz Haftpflicht und Unfallversicherung,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Kann die Kfz Haftpflicht Versicherung die Regulierung von festgestellten Schäden gegenüber Dritten verweigern?,Nein aber der Schädiger kann unter Umständen in Regress genommen werden,bei Vermögensschädenansprüchen aus einem Unfall usw.,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
In welchen fällen tritt die Verkehrsrechtschutz Versicherung ein ?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Bei Bußgeldbescheide,bei Führerscheinentzug,bei Vermögensschädenansprüchen aus einem Unfall usw.,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Welche Maßnahmen muss ein Fahrer im Hinblick auf Fund Sachen ergreifen,Ermittlung der Zahllast und Traglast,"Nach Beendigung jeder Fahrt ist zu prüfen, ob Gegenstände zurückgeblieben sind",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
In welchem Zeitabstand ist die Hauptuntersuchung eines Taxis oder Mittwagen anfällig?,Sozialversicherungsbeitragstabelle,Max 6 Stunden,1 Jahr,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Welche Voraussetzungen muss erfüllt sein- um ein Taxi auf einem Taxi Platz einer Gemeinde bereit halten zu dürfen,Der Taxi Platz muss innerhalb des Betriebssitz Gemeinde des Unternehmers liegen,Taxi Schild muss entfernt werden,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
In welchem Fall musst du ein Taxischild beleuchtet sein ?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Wenn du Taxi innerhalb des Pflichtfahrgebietes unterwegs ist und zur Benutzung frei ist.,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Sie sind mehr als 4 Jahre Taxiunternehmen und wollen einen 40-jährigen Mitarbeiter mit einem befristeten Vertrag einstellen. Einen sachlichen Grund für die Befristung haben sie nicht. Auf welchem Zeitraum dürfen Sie denn noch das Arbeitsverhältnis befristet,Max. 2 Jahre,"Anlegen und führen von Lohnkosten, Lohnbuch",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Wer ist für die Betriebs und Verkehrssicherheit des Fahrzeugs und den Vorschriftsmäßigen Einsatz verantwortlich,Der Fahrzeugführer und der Fahrzeughalter,Max 6 Stunden,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Sie kontrollieren zu Beginn ihrer Schicht ihr Taxi. Was müssen sie vor dem Abfahrt in Bezug auf die Verkehrssicherheit prüfen,Bremsen,Bereifung,Beleuchtung,Mautgebühren,—ordnungsgemäße Befestigung der dachleuchte,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Der Unternehmer ist verpflichtet- seine Mitarbeiter über die für seinen Betrieb bestehende Unfallverhütungsvorschriften zu informieren. In welcher Form hat dies zu geschehen?,—Der Unternehmer hat die für sein Unternehmen geltenden Unfallverhütungsvorschriften an geeigneter Stelle anzulegen.,—Den mit der Durchführung der Unfallverhütung Betrauten Personen sind die Arbeitsschutz und Unfallverhütungsvorschriften auszuhändigen soweit sie Ihren Arbeitsbereich betreffen,Ja,Der Unternehmer hat die Versicherten über die bei Ihnen Tätigkeiten auf treffenden Gefahren vor Beschäftigung min .Einmal im Jahr zu informieren.,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Nennen Sie 3 Maßnahmen des Umweltschutzes- die sie bei der Wartung von Kraftfahrzeugen beachten sollen?,Ermittlung der Zahllast und Traglast,Altöl fachgerecht entsorgen,kein Auto Batterien an der Hausmüll werfen,Das Skonto ist ein prozentualer Nachlass vom KaufpreisEinleiten von Öl oder fetthaltigen Wasser in die Kanalisierung vermeiden,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Besitz- Erwerb- Verteilung ein und Ausfuhr von Rauschgiften aller Art werden in allen Ländern strafrechtlich verfolgt. Welche Hinweise geben Sie Ihren Fahrer?,Lehnen Sie den Kauf und die Beförderung von Rauschgift ab.,"Befördern sie weder Briefe noch Päckchen aus Gefälligkeit oder gegen Kosten Ersatz, wenn sie den Verdacht haben könnten dass etwas nicht stimmt.",achten Sie auf Ihr Gepäck und das Fahrzeug,Bei Schwierigkeiten informieren Sie sofort die Deutsche Auslandsvertretung oder Polizei,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Mit welchen Genehmigungen können grenzüberschreitende Beförderungen mit Taxi und Mietwagen durchgeführt werden?,Vorauszahlung auf die Zinsen,Taxi und Mietwagen Genehmigung nach dem Personalbeförderungsgesetz,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Sie haben einen Auftrag in das benachbarte Ausland angenommen. Wo können Sie nachlesen unter welchen Bedingungen sie Geretzüberschreitende Personenverkehre mit einem PKW dorthin durchführen dürfen?,Bilaterale Vereinbarungen,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Sie haben einen Auftrag in das benachbarte Ausland angenommen. Wo und wie können Sie sich schnell und zuverlässig vergewissern welche besonderen Verkehrsvorschriften dort gelten?,An der Grenze die Informationstafel lesen,"Anlegen und führen von Lohnkosten, Lohnbuch",—Grenzbeamte oder Adac fragen,Blick in ein Handbuch,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Eine Vermittlungszentrale gib einen Fahrauftrag fehlerhaft weiter- wer haftet und warum?,Der Betreiber der Vermittlungszentrale aus den Vermittlungsvertrag,Max 6 Stunden,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Was muss der Fahrer gemäß Unfallverhütungsvorschriften beim Reifenwechsel im Gefahrenbereich des fließenden Verkehrs auf öffentlichen Straßen achten,Anlegen von Warnkleidung,Taxi Schild muss entfernt werden,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Die Fahrten des Frauennachttaxi soll nicht nach Taximeter abgerechnet werden. Vorgesehen ist ein Zonentarif. Unter welchen Voraussetzungen ist das zulässig,"-Es muss ein bestimmter Zeitraum, eine Mindestfahrten Zahl oder einen Mindestumsatz im Monat festgelegt werden.",Die örtliche Verordnung über die Beförderungsentgelte musst eine Pflicht zur Genehmigung oder Anzeige von Sondervereinbarung Versehen.,Ja,Die Ordnung der Verkehrsmarktes darf nicht gestört werden.,—Der Sondertarif muss schriftlich vereinbart werden.,Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Wegen der hören Arbeitsanfalls möchten Sie den Aushilfsfahrer- der 2 Jahre bei Ihnen beschäftigt ist- kündigen und den Arbeitsplatz mit einer Vollzeitarbeitskraft besetzen. Welche gesetzliche Kündigungsfrist müssen sie einhalten?,4 Wochen zum 15. des Monats oder Monatsende.,"Anlegen und führen von Lohnkosten, Lohnbuch",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Sie sind sich nicht sicher- ob die Gemeinde das Frauennachttaxi langfristig anbieten wird. Deshalb möchten Sie einen 35- jährigen Fahrer zum 1. Januar zunächst befristet bis zum 31. Dezember des selben Jahres einstellen. Können Sie das befristete Arbeitsverhältnis danach verlängern und wenn ja wie lange höchstens?,Ja ich kann das Arbeitsverhältnis danach noch 1 Jahr verlängern also insgesamt 2 Jahre,Max 6 Stunden,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Welche Zuschläge sollten Sie bei der Kalkulation der Personalkosten beachten?,Vorauszahlung auf die Zinsen,Taxi Schild muss entfernt werden,—Bilaterale Abkommen,Sonntag und Feiertagszuschläge,Nachtzuschläge,Übernachtungskosten,höre Kraftstoffpreise,Überstundenzuschläge
Welche Ausrüstung muss ein Taxi haben?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,2 Türen rechten Längsseite,Taximeter,Alarmanlage,Ordnungsnummer,Taxischild,Unternehmerschild
Welche Unterlagen müssen der Kfz Zulassungsstelle nach der StVOZ Zur Zulassung ihres zusätzlichen Taxis Neufahrzeug vor gelegt werden,Gewerbeanmeldung,Fahrzeugbrief,10 Jahre,—Personalausweis (Pass),Versicherungsbestätigungskarte,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Welche Unterlagen müssen nach der Zulassung der Genehmigungsbehörde vor gelegt werden- damit das Fahrzeug in die Genehmigungsurkunde eingetragen wird.,Bestätigung der nach BOKraft erforderlichen Taxi Ausstattung,—Eichbescheinigung für den Taxameter,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Womit muss ein Fahrzeugwaschplatz aus Umweltgründen nach dem Wasserhaushaltsgesetz ausgerüstet sein?,Vorauszahlung auf die Zinsen,—Mit einem Ölabscheider,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Ihre Standortgemeinde liegt in der Nähe der Grenze zu einem europäischen Nachbarstaat. In der nächgelegene ausländischen Stadt befindet sich eine beliebige Diskothek. Immer wieder erhalten Sie im Rahmen ihrer Frauennachttaxis anfragen für Fahraufträge zu der Diskothek bzw. von dort wieder zurück nach Deutschland. Da sie diese im Rahmen des Frauennachttaxis nicht durchführen. Setzen Sie hier für ihre Mietwagen ein. Benötigen Sie für diese Fahrten mit dem Mietwagen eine zusätzliche Genehmigung- die sie berechtigt Personenbeförderung ins Ausland durchzuführen?,Nein,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Was müssen Sie in Bezug auf ihre Funkgerät beachten?,Ermittlung der Zahllast und Traglast,Es darf im Ausland nicht betriebsbereit sein,10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Welche Maßnahmen zur Beweissicherung sind bei Verkehrsunfällen ratsam?,Zeugen halten,Unfallprotokolle machen,Unfallberichte schreiben,Taxi Tarif Ordnung,Mängel,Feststellung,Skizzen,Spurensicherung
Ihr Fahrer wird in einem von Dritten verursachten Verkehrsunfall verwickelt. Welche 4. Punkte Musst die Unfallmeldung erhalten?,Vorauszahlung auf die Zinsen,—Wer meldet es,—was ist geschehen,—wie viel Verletzte,—wo ist der Unfall passiert,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Nennen Sie 4 besonders zu entsorgende Abfälle- die in einem Verkehrsunternehmen entstehen können?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Öle—Batteriesäure— Altreifen—Kühlflüssigkeit— Verdünner,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Welche Bedeutung hat die Grüne Versicherungskarte?,Ermittlung der Zahllast und Traglast,"Anlegen und führen von Lohnkosten, Lohnbuch",10 Jahre,"Sie dient als Nachweis im europäischen Ausland, dass für das Fahrzeug Versicherungsschutz besteht.",Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Welche Unterlagen- Dokumente- Ausweise- Vorschriften müssen während des Betriebs eines Taxis mitgeführt werden?Nennen Sie 6,Genehmigungsschein,Führerschein,Fahrzeugschein,Personalbeförderungschein,Taxi Tarif Ordnung,Quittungen,Personalausweis,Sozialversicherungsausweis
In welchen Zeitabständen muss an einem Taxi oder Mietwagen eine Abgasuntersuchung vorgenommen werden?,Vorauszahlung auf die Zinsen,Taxi Schild muss entfernt werden,Alle 12 Monate,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Wer haftet nach den Grundsätzen der Gefährdungshaftung für Schäden die durch Kfz Verursacht wird?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Der Halter,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Was heißt ist Kaufmann?,Alle Kaufleute den Grundhandelgewerbe treiben und über einen eingerichteten Geschäftsbetrieb verfügen zum Beispiel einen Laden,"Anlegen und führen von Lohnkosten, Lohnbuch",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Nennen Sie 3 Gesellschaftsformen ?,Einzelunternehmer,Personengesellschaft,Kapitalgesellschaft,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Nennen Sie drei Personengesellschaften?,GbR —Gesellschaft bürgerlichen Rechts Keine Eintragung im Handelsregister,"OHG —Offene Handelsgesellschaft, Eintragung im Handelsregister Gesamtschuld Haftung","KG —Kommanditgesellschaft, Haftet nur mit der Höhe der im Handelsregister eingetragen Einträge",Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Nennen Sie zwei Kapitalgesellschaften?,"GmbH Gesellschaft mit beschränkter Haftung , Mindeststammkapital 25.000 € 1 Gesellschafter",AG Aktien Gesellschaft Mindeststammkapital 50.000 € und 5 Aktionäre,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Was ist der Vorteil einer GmbH?,Ermittlung der Zahllast und Traglast,"Anlegen und führen von Lohnkosten, Lohnbuch",Die private Haftung fällt weg man kann sich als Geschäftsführer einstellen.,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Welche Beiträge kann im Jahr der Anschaffung voll abgeschrieben werden?,—Wagenheber 149 €,Max 6 Stunden,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Was verstehen Sie unter geringwertigen Wirtschaftsgüter ?,Vorauszahlung auf die Zinsen,Anschaffungen bis 150 € netto können Sie im Jahr der Anschaffung abgeschrieben werden,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Was bedeutet das Bilaterale Abkommen?,Ein Abkommen zwischen zwei Staaten (Länder),Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Wie lange ist die Verjährungsfrist bei Forderungen aus einer Personenbeförderung wegen eines Schadens?,Ansprüche aus einem Beförderungsvertrag verjährt nach 3 Jahren,"Anlegen und führen von Lohnkosten, Lohnbuch",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Wann beginnt die Verjährungsfrist?,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Max 6 Stunden,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Wie wirkt sich die Abschreibung in der Erfolgsrechnung aus?,—Reduziert den Gewinn,Taxi Schild muss entfernt werden,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Zu welchem Zweck darf ein Taxi in zweiter Reihe halten?,Um Fahrgäste ein oder aussteigen zu lassen.Wenn es der Verkehrslage zulässt,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Welche Mindestalter muss für die Erteilung der Fahrerlaubnis zu Fahrgastbeförderung erreicht sein,Ermittlung der Zahllast und Traglast,—21 Jahre,10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Wie wird in der Regel das Umlaufvermögen finanziert?,Sozialversicherungsbeitragstabelle,-Durch kurzfristige Kredite,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Welchen Zweck dient ein Eigentumsvorbehalt?,Vorauszahlung auf die Zinsen,Bei Warenkredite z.B Ratenkauf,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Was bedeutet betriebswirtschaftliche Abschreibung?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Mit der Abschreibung soll die Wertminderung eines Wirtschaftsgutes gleichmäßig auf die Nutzungsdauer verteilt werden,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Was bedeutet Buchwert?,Ermittlung der Zahllast und Traglast,Unter Buchwert versteht man den Wert eines Wirtschaftsgutes am Ende einer Abrechnungsperiode nach Abzug der Abschreibung,10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Was bedeutet stille Reserven?,Sozialversicherungsbeitragstabelle,Max 6 Stunden,"Eine stille Reserve entsteht dann, wenn die Abschreibung in ihrer Höhe über der tatsächliche Wertminderung liegen",Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Nennen Sie 3 Schadensfälle für die die Teilkasko Versicherung eintritt?,Glasschäden,Wildschäden,—Bilaterale Abkommen,Brand,Tunnelgebühren,Diebstahl,höre Kraftstoffpreise,Spesen
Wann wird die amtliche Prüfplakette für eine durchgeführt Hauptuntersuchung ungültig ?,Mit Ablauf des auf der Plakette angegebenen Monats,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Nennen Sie zwei von außen am Fahrzeug sichtbare Merkmale eines Taxis?,Ermittlung der Zahllast und Traglast,Taxischild und Ordnungsnummer,10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
