,prüfen ob der AN im Besitz des Führerscheines und des Personenbeförderungsscheines ist,Übernahme der Arbeitgeberanteile,Einhaltung der arbeits- und sozialrechtliche Schutzbestimmungen (Arbeitszeitdauer Kündigungsschutz),überprüfen des Sozialversicherungsausweises,Fürsorgepflicht (Berufsgenossenschaft),Anmeldung zur Sozialversicherung (Krankenkasse),,
,prüfen ob der AN im Besitz des Führerscheines und des Personenbeförderungsscheines ist,Anmeldung zur Sozialversicherung anhand des entsprechenden Formulars,Einhaltung der arbeits- und sozialrechtliche Schutzbestimmungen (Arbeitszeitdauer Kündigungsschutz),überprüfen des Sozialversicherungsausweises,Fürsorgepflicht (Berufsgenossenschaft),Anme ldung zur Sozialversicherung anhand des entsprechenden Formulars,,
,Führerschein,Führerschein zur Fahrgastbeförderung,Sozialversicherungsausweis,Krankenkasse angeben,Kontoverbindung angeben,Unterlagen über vermögenswirksame Leistungen,bei Ausländern: Aufenthalt- und Arbeitserlaubnis,Lohnsteuerkarte
,Kündigung muss schriftlich erfolgen,BerücksichtiguAbgeltung der Ansprüche aus Lohn und Urlaub,Ausstellung nicht negatives Zeugnisses (auf Verlangen),Aushändigung der Arbeitspapiereng der gesetzlichen bzw. tariflichen Kündigungsfrist und der Kündigungsschutzbestimmungen.,Abmeldung beim Sozialversicherungsträger (Krankenk),Berücksichtigung der gesetzlichen bzw. tariflichen Kündigungsfrist und der Kündigungsschutzbestimmungen.,Abgeltung der Ansprüche aus Lohn und Urlaub,Aushändigung der Arbeitspapiere
,Beginn der Tätigkeit,,Vereinbarung einer Probezeit und der Kündigungszeit während der Probezeit, tägliche Arbeitszeit und Pausen, Kündigungsfristen,Entlohnung die Vergütung von Überstunden Zuschlägen Urlaubsgeld. Weihnachtsgeld Reisekosten.,Einsatzort,Geltung von Tarifverträgen
,Ab dem 4 Schwangerschaftsmonat darf eine Fahrerin nicht mehr auf einem Taxi oder Mietwagen eingesetzt werden.,Nein. sie kann nicht mehr gekündigt werden,der Arbeitgeber ist verpflichtet. den Lohnausfall bis zum Eintreten der Schutzfristen zu zahlen. In Kleinbetrieben erhält der Arbeitgeber im Rahmen des sog. Umlageverfahrens einen Teil seiner zu zahlenden Lohnkosten von der Krankenkasse.,,,,,
,,,,Bis zu 6 Wochen wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt.,,,,
,,,,AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen wenn die Krankheit unverschuldet ist,,,,
,,,,Durch Arbeitszeitgesetz (ArbZG),,,,
,,,,Nur für Arbeitnehmer. ,,,,
,,,,Arbeitszeit ist die Zeit vom Beginn bis zum Ende der Arbeit ohne die Ruhepausen.,Arbeitszeit darf 8 Std. nicht überschreiten. Sie kann auf bis zu 10 Std. verlängert werden. wenn innerhalb von 6 Monaten oder 24 Wochen im Durchschnitt 8 Std. werktäglich nicht überschritten werden. Eine Verlängerung über 10 Std. ist nur durch Tarifvertrag möglich. wenn in die Arbeitszeit regelmäßig Arbeitsbereitschaft fällt,,,
,,,,Mind. 11 Std,"Ruhezeit kann bis zu 10 Std. verkürzt werden wenn innerhalb von 4 Wochen andere Ruhezeit auf mind. 12 Std. verlängert wird. ",,,
,,,,30 Min. mindestens bei Arbeitszeit von 6 bis zu 9 Std. ,45 Min. bei einer Arbeitszeit von mehr als 9 Std.," Ruhepausen können in Zeitabschnitte von mind. 15 Min. aufgeteilt werden ","länger als 6 Std. hintereinander dürfen Arbeitnehmer nicht ohne Ruhepause beschäftigt werden.",,
,,,,"Der AG muss die Arbeitszeit des AN aufzeichnen wenn die werktägliche Arbeitszeit von 8 Std. überschreiten. Diese Aufzeichnungen sind 2 Jahre aufzubewahren.",,,,
,,,,Nein,,,,
,,,,4 Wochen zum 15. oder zum Monatsende,nach 2 Jahren – 1 Monat nur zum Monatsende,"nach 5/ 8/10/12/15 und 20 Jahren Beschäftigung verlängert sich die Kündigungsfrist um 1 Monat bis zu max. Länge von 7 Monaten zum Monatsende.",,,
,,,,Schwerbehinderung und,Unterhaltspflichten des Arbeitnehmers,Dauer der Betriebszugehörigkeit,Lebensalter,
,,,,Durch den Abschluss eines Arbeitsvertrages,,,,
,,,,"Jeder AN hat Anspruch auf 24 Werktage (Werktage sind die Tage von Montag bis Samstag) Urlaub","12 Werktage müssen ihm zusammenhängend gewährt werden",,,
,,,,"Nach 6 Monaten (sog. Wartezeit) Anspruch auf den vollen Jahresurlaub.",,,,
,,,,"Eine Zwölftelung des Jahresurlaubs für jeden vollen Beschäftigungsmonat erfolgt beim Ausscheiden vor Erfüllung der Wartezeit. In Tarifverträgen wird meistens eine Zwölftelung des Urlaubs für alle Fälle des Ausscheidens im Laufe des Urlaubsjahres vorgenommen",,,,
,,,,"Beim Ausscheiden des AN wenn der Urlaub nicht in Natur gewährt werden kann hat der AN einen sog. „Urlaubsabgeltungsanspruch“.",,,,
,,,,"Ja es spricht eine Vermutung dafür dass wegen der Krankheit gekündigt worden ist. Folge: AG muss Lohn über den Kündigungszeitpunkt bis 6 Wochen fortzahlen",,,,
,,,,wenn der AN vor dem 31. März folgendes Jahres ausscheidet (mehr als 250 € und weniger als Monatslohn), durch Tarifvertrag können andere Regelungen bestehen,Hinweis auf die Freiwilligkeit der Weihnachtsgratifikation führt allein nicht zu einem Rückforderungsanspruch,,
,,,,"in den ersten 6 Monaten der Beschäftigung kann die Kündigung ohne Zustimmung der Hauptfürsorgestelle ausgesprochen werden sie muss nur angezeigt werden.",•ist nur nach vorheriger Zustimmung der Hauptfürsorgestelle möglich,,,
,,,,"bei leichter Fahrlässigkeit - der Unternehmer kann den Schaden selbst tragen","bei normaler Fahrlässigkeit kann der Schaden zwischen Unternehmer und AN aufgeteilt werden","Bei grober Fahrlässigkeit und selbstverständlich bei Vorsatz muss der AN den Schaden voll ersetzen",,
,,,, haben Urlaubsanspruch und Anspruch auf Lohnfortzah lung im Krankheitsfall,gelten die gleichen Kündigungsfristen wie für Vollzeit,Kündigungsschutzgesetz findet auf sie Anwendung. ,"ist spätestens am Tag der Beschäftigungsaufnahme Meldung an die zuständige Krankenkasse zu machen (Sofortmeldung)",Wird ein Teilzeitbeschäftigter in ein Vollzeitarbeitsverhältnis übernommen oder umgekehrt so sind die Beschäftigungszeiten stets zusammenzurechnen
,,,,, der im Rechtsstreit unterliegt,bei Abschluss eines Vergleiches entfallen die gerichtlichen Kosten,Kosten für eine anwaltliche Vertretung in erster Instanz sowohl im Falle eines Vergleichs oder eines Urteils hat jede Partei selbst zu tragen,in der Berufungs- und in der Revisionsinstanz sind diese kosten vom Unterlegenen zu zahlen,
,,,,Nein mehr als 15 AN beschäftigt.,,,,
,,,,"Für Taxi- und Mietwagenfahrer gilt das Arbeitszeitgesetz",nicht aber für selbst fahrende Unternehmer,,,
,,,,"Aushilfsfahrer darf nicht mehr als 48 Wochenstd. arbeiten und am Tag nicht mehr als 10 Std. Arbeitszeit haben.",,,,
,,,,"• der regelmäßig in Wechselschicht mehr als 2 Std. während der Nachtzeit arbeitet oder",mind. 48 Tagen im Jahr mehr als 2 Std. Nachtarbeit hatte,,,
,,,,"AG muss auf schriftlichen Antrag seines AN Teile des Arbeitslohnes vermögenswirksam anlegen","Bis zu bestimmten Einkommenshöchstgrenzen erhält der AN eine staatliche Arbeitnehmersparzulage",,,
,,,,"ohne sachlichen Grund bis 2 J. wobei eine 3-malige Verlängerung innerhalb der 2 J. möglich ist danach 4 Monate Pause",bei sachlichen Grund (z.B. Krankheits/Uzlaubsvertretung),Probezeit (längste 6 Monate),,
,,,,Mietvertrag ,(x) Werkvertrag,Dienstvertrag,Pachtvertrag.,
,,,,"AN zahlt keine Sozialversicherungsbeiträge für Minijob max. 400 € AG zahlt Abgabepauschale von 25% • Zwischen 401-800 € zahlt AN seine Teil ansteigender Sozialabgaben zwischen 4% u. 21%.",,,,
,,,,Bundesknappschaft Essen,,,,