,Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,,Vollständigkeit - die Einnahmen und Ausgaben sollten sorgfältigst festgehalten werden,,Zeitnähe - um die Entscheidung der zu treffenden Maßnahmen zum optimalen Zeitpunkt treffen zu können. muss auch der Zeitpunkt der Einnahmen- und Ausgabenströme exakt ausgewiesen werden.,,,
,,,,Alle Einnahmen in Geld oder Gütern. die dem Taxi- und Mietwagenunternehmer im Rahmen des Betriebes zufließen. (Beförderungsentgelte oder Mietpreise. Entgelte aus dem Verkauf von gebrauchten Kfz und anderen Wirtschaftsgütern des Anlagevermögens. Erstattung aus betrieblichen Versicherungsverträgen. Schadensersatzleistungen Dritter bei Unfällen. Rückzahlung überzahlter Gewerbesteuern und Leistung einer Unfallversicherung usw.),,,,
,,,,,Alle zur Durchführung und Aufrechterhaltung des Betrie Alle zur Durchführung und Aufrechterhaltung des Betrie,,,
,,,Durch eine Kalkulation soll festgestellt werden. ob das zu erzielende Beförderungsentgelt ausreicht. um die Kosten zu decken (Preisbeurteilung) und wie hoch das Beförderungsentgelt mindestens sein muss. damit die Kosten gedeckt werden (Preisbildung). Dies geschieht durch Berechnung der Selbstkosten. die dem Erlös gegenübergestellt werden,,,,,
,Die einzelnen Aufwendungen werden in der Buchhaltung erfasst und in variable und fixe Kosten aufgegliedert.,,,,,,,
,,,,,,Kalkulatorische Kosten sind Kosten. die in der Selbstkostenrechnung diejenigen Positionen berücksichtigen sollen. die nicht zu Ausgaben führen.,,
,Mit Hilfe der Fahrzeugkostenrechnung wird geprüft. ob der Einsatz der Fahrzeuge in einem bestimmten Abrechnungszeitraum in der Vergangenheit wirtschaftlich erfolgte.,Kontrolle des wirtschaftlichen Einsatz (Rentabilität).,Kalkulation des Angebotspreises.,Grundlage für unternehmerische Tätigkeit,,,,,
,,,Bewegliche Kosten sind Kosten. die durch den Einsatz des Kfz entstehen. Sie fallen nur an. wenn der Wagen fährt.,,,,Feste Kosten sind Kosten. die immer anfallen. also zeitabhängige Kosten. und unabhängig von der Leistung des Kfz,
,,Leistungsabhängige oder veränderliche Kosten.,,,,,,
,,,,Alle nicht leistungsabhängigen Aufwendungen.,,,,
,Finanzierungskosten,,,,,(x) Reifen,Kfz-Versicherung,Garagenmiete.,
,Kfz-Kaskoversicherung.,Kfz-Steuer.,Kfz-Haftpflichtversicherung.,Entwertung.,Allgemeine Verwaltungskosten (AVK),Mieten,Kapitalverzinsung,Unternehmerlohn.,
,Kraftstoffkosten,Schmierstoffkosten.,,Reifenkosten,Reparaturkosten.,,Abnutzung.,Unternehmerrisiko,
,,Die Fahrpersonalkosten sind weder den beweglichen noch den festen Fahrzeugkosten zuzurechnen. Sie sind der dritte Kostenblock der Kostenrechnung.,,,,,,
,,,,,Ohne MwSt..,,,
,Büromiete.,,Steuerberater,Abschreibung von Büroausstattung.,Gehälter.,, Strom.,Telefon..,
,a) Mit dem U-Risiko sollen unvorhersehbare aber kalkulierbare Risiken abgedeckt werden. wie z.B. • Forderungsausfälle. • Selbstbeteiligung bei Kasko-Versicherung. • Preissteigerungen.,,,,b) halber Kaufpreis + Umlaufvermögen,,c) Zur Ermittlung der Kapitalverzinsung!,
,,,,,,Um die Mitarbeit des Unternehmers im Betrieb zu berücksichtigen.,,
,,In den Fahrpersonalkosten.,,,,,,
,,,Der U-Lohn stellt ein Entgelt für die Mitarbeit des Unternehmers im Betrieb dar. Der U-Risiko soll unvorhersehbare Tatbestände im Betriebsablauf abdecken,,,,,
,,,,,,,Es sollen Fahrpersonalkosten in ortsüblicher Höhe. U-Lohn und U-Risiko berücksichtigt werden.,
,Die Tage. an denen das Fahrzeug im Einsatz war und Umsatz eingefahren hat.,,,,,,,,
,Abschreibung den Wertverlust eingesetzter Anlagegegenstände (Pkw. Funkeinrichtung usw.) durch die als Erfahrungswert angenommene Lebensdauer. z.B. 4 J. und leistungsbezogen die Abnutzung durch den individuellen Betriebseinsatz. z.B. durch die gefahren km des Pkw,,,,,,,
,,,AfA- Absetzung für die Abnutzung. Variable Kosten.,,,,,
,,,,,Der Einsatzausfall des Pkw aufgrund eines Unfalls durch Fremdverschulden.,,,