Welchen Anforderungen sollte die Finanzplanung genügen? Nennen Sie zwei.,Aktiengesetz (bei Vorliegen der entsprechenden Rechtsform der Firma),Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Handelsgesetz,Vollständigkeit - die Einnahmen und Ausgaben sollten sorgfältigst festgehalten werden,das Betriebsvermögen mehr als 87.500 € oder,Zeitnähe - um die Entscheidung der zu treffenden Maßnahmen zum optimalen Zeitpunkt treffen zu können. muss auch der Zeitpunkt der Einnahmen- und Ausgabenströme exakt ausgewiesen werden.,Einkommensteuergesetz,Abgabenordnung,
Was sind die wesentlichen Betriebseinnahmen?,Aktiengesetz (bei Vorliegen der entsprechenden Rechtsform der Firma),Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Handelsgesetz,Vollständigkeit - die Einnahmen und Ausgaben sollten sorgfältigst festgehalten werden,Alle Einnahmen in Geld oder Gütern. die dem Taxi- und Mietwagenunternehmer im Rahmen des Betriebes zufließen. (Beförderungsentgelte oder Mietpreise. Entgelte aus dem Verkauf von gebrauchten Kfz und anderen Wirtschaftsgütern des Anlagevermögens. Erstattung aus betrieblichen Versicherungsverträgen. Schadensersatzleistungen Dritter bei Unfällen. Rückzahlung überzahlter Gewerbesteuern und Leistung einer Unfallversicherung usw.),Zeitnähe - um die Entscheidung der zu treffenden Maßnahmen zum optimalen Zeitpunkt treffen zu können. muss auch der Zeitpunkt der Einnahmen- und Ausgabenströme exakt ausgewiesen werden.,Einkommensteuergesetz,Abgabenordnung,
Welche Ausgaben zählen unter anderem zu den Betriebsausgaben?,Aktiengesetz (bei Vorliegen der entsprechenden Rechtsform der Firma),Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Handelsgesetz,Vollständigkeit - die Einnahmen und Ausgaben sollten sorgfältigst festgehalten werden,Alle Einnahmen in Geld oder Gütern. die dem Taxi- und Mietwagenunternehmer im Rahmen des Betriebes zufließen. (Beförderungsentgelte oder Mietpreise. Entgelte aus dem Verkauf von gebrauchten Kfz und anderen Wirtschaftsgütern des Anlagevermögens. Erstattung aus betrieblichen Versicherungsverträgen. Schadensersatzleistungen Dritter bei Unfällen. Rückzahlung überzahlter Gewerbesteuern und Leistung einer Unfallversicherung usw.),Alle zur Durchführung und Aufrechterhaltung des Betrie Alle zur Durchführung und Aufrechterhaltung des Betrie,Einkommensteuergesetz,Abgabenordnung,
Was ist Sinn und Zweck einer Kalkulation?,Aktiengesetz (bei Vorliegen der entsprechenden Rechtsform der Firma),Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Handelsgesetz,Durch eine Kalkulation soll festgestellt werden. ob das zu erzielende Beförderungsentgelt ausreicht. um die Kosten zu decken (Preisbeurteilung) und wie hoch das Beförderungsentgelt mindestens sein muss. damit die Kosten gedeckt werden (Preisbildung). Dies geschieht durch Berechnung der Selbstkosten. die dem Erlös gegenübergestellt werden,Alle Einnahmen in Geld oder Gütern. die dem Taxi- und Mietwagenunternehmer im Rahmen des Betriebes zufließen. (Beförderungsentgelte oder Mietpreise. Entgelte aus dem Verkauf von gebrauchten Kfz und anderen Wirtschaftsgütern des Anlagevermögens. Erstattung aus betrieblichen Versicherungsverträgen. Schadensersatzleistungen Dritter bei Unfällen. Rückzahlung überzahlter Gewerbesteuern und Leistung einer Unfallversicherung usw.),Alle zur Durchführung und Aufrechterhaltung des Betrie Alle zur Durchführung und Aufrechterhaltung des Betrie,Einkommensteuergesetz,Abgabenordnung,
Wie werden die Selbstkosten bei der Kalkulation erfasst und aufgegliedert?,Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Die einzelnen Aufwendungen werden in der Buchhaltung erfasst und in variable und fixe Kosten aufgegliedert.,Handelsgesetz,Durch eine Kalkulation soll festgestellt werden. ob das zu erzielende Beförderungsentgelt ausreicht. um die Kosten zu decken (Preisbeurteilung) und wie hoch das Beförderungsentgelt mindestens sein muss. damit die Kosten gedeckt werden (Preisbildung). Dies geschieht durch Berechnung der Selbstkosten. die dem Erlös gegenübergestellt werden,Alle Einnahmen in Geld oder Gütern. die dem Taxi- und Mietwagenunternehmer im Rahmen des Betriebes zufließen. (Beförderungsentgelte oder Mietpreise. Entgelte aus dem Verkauf von gebrauchten Kfz und anderen Wirtschaftsgütern des Anlagevermögens. Erstattung aus betrieblichen Versicherungsverträgen. Schadensersatzleistungen Dritter bei Unfällen. Rückzahlung überzahlter Gewerbesteuern und Leistung einer Unfallversicherung usw.),Alle zur Durchführung und Aufrechterhaltung des Betrie Alle zur Durchführung und Aufrechterhaltung des Betrie,Einkommensteuergesetz,Abgabenordnung,
Die einzelnen Aufwendungen werden in der Buchhaltung erfasst und in variable und fixe Kosten aufgegliedert.,Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Die einzelnen Aufwendungen werden in der Buchhaltung erfasst und in variable und fixe Kosten aufgegliedert.,Handelsgesetz,Durch eine Kalkulation soll festgestellt werden. ob das zu erzielende Beförderungsentgelt ausreicht. um die Kosten zu decken (Preisbeurteilung) und wie hoch das Beförderungsentgelt mindestens sein muss. damit die Kosten gedeckt werden (Preisbildung). Dies geschieht durch Berechnung der Selbstkosten. die dem Erlös gegenübergestellt werden,Alle Einnahmen in Geld oder Gütern. die dem Taxi- und Mietwagenunternehmer im Rahmen des Betriebes zufließen. (Beförderungsentgelte oder Mietpreise. Entgelte aus dem Verkauf von gebrauchten Kfz und anderen Wirtschaftsgütern des Anlagevermögens. Erstattung aus betrieblichen Versicherungsverträgen. Schadensersatzleistungen Dritter bei Unfällen. Rückzahlung überzahlter Gewerbesteuern und Leistung einer Unfallversicherung usw.),Alle zur Durchführung und Aufrechterhaltung des Betrie Alle zur Durchführung und Aufrechterhaltung des Betrie,Kalkulatorische Kosten sind Kosten. die in der Selbstkostenrechnung diejenigen Positionen berücksichtigen sollen. die nicht zu Ausgaben führen.,Abgabenordnung,
Welchen Zweck hat die Fahrzeugkostenrechnung?,Mit Hilfe der Fahrzeugkostenrechnung wird geprüft. ob der Einsatz der Fahrzeuge in einem bestimmten Abrechnungszeitraum in der Vergangenheit wirtschaftlich erfolgte.,Kontrolle des wirtschaftlichen Einsatz (Rentabilität).,Kalkulation des Angebotspreises.,Grundlage für unternehmerische Tätigkeit,Durch eine Kalkulation soll festgestellt werden. ob das zu erzielende Beförderungsentgelt ausreicht. um die Kosten zu decken (Preisbeurteilung) und wie hoch das Beförderungsentgelt mindestens sein muss. damit die Kosten gedeckt werden (Preisbildung). Dies geschieht durch Berechnung der Selbstkosten. die dem Erlös gegenübergestellt werden,Alle Einnahmen in Geld oder Gütern. die dem Taxi- und Mietwagenunternehmer im Rahmen des Betriebes zufließen. (Beförderungsentgelte oder Mietpreise. Entgelte aus dem Verkauf von gebrauchten Kfz und anderen Wirtschaftsgütern des Anlagevermögens. Erstattung aus betrieblichen Versicherungsverträgen. Schadensersatzleistungen Dritter bei Unfällen. Rückzahlung überzahlter Gewerbesteuern und Leistung einer Unfallversicherung usw.),Alle zur Durchführung und Aufrechterhaltung des Betrie Alle zur Durchführung und Aufrechterhaltung des Betrie,Kalkulatorische Kosten sind Kosten. die in der Selbstkostenrechnung diejenigen Positionen berücksichtigen sollen. die nicht zu Ausgaben führen.,
Erklären Sie den Unterschied zwischen festen und beweglichen kosten.,Mit Hilfe der Fahrzeugkostenrechnung wird geprüft. ob der Einsatz der Fahrzeuge in einem bestimmten Abrechnungszeitraum in der Vergangenheit wirtschaftlich erfolgte.,Kontrolle des wirtschaftlichen Einsatz (Rentabilität).,Kalkulation des Angebotspreises.,Bewegliche Kosten sind Kosten. die durch den Einsatz des Kfz entstehen. Sie fallen nur an. wenn der Wagen fährt.,Durch eine Kalkulation soll festgestellt werden. ob das zu erzielende Beförderungsentgelt ausreicht. um die Kosten zu decken (Preisbeurteilung) und wie hoch das Beförderungsentgelt mindestens sein muss. damit die Kosten gedeckt werden (Preisbildung). Dies geschieht durch Berechnung der Selbstkosten. die dem Erlös gegenübergestellt werden,Alle Einnahmen in Geld oder Gütern. die dem Taxi- und Mietwagenunternehmer im Rahmen des Betriebes zufließen. (Beförderungsentgelte oder Mietpreise. Entgelte aus dem Verkauf von gebrauchten Kfz und anderen Wirtschaftsgütern des Anlagevermögens. Erstattung aus betrieblichen Versicherungsverträgen. Schadensersatzleistungen Dritter bei Unfällen. Rückzahlung überzahlter Gewerbesteuern und Leistung einer Unfallversicherung usw.),Alle zur Durchführung und Aufrechterhaltung des Betrie Alle zur Durchführung und Aufrechterhaltung des Betrie,Feste Kosten sind Kosten. die immer anfallen. also zeitabhängige Kosten. und unabhängig von der Leistung des Kfz,
Was verstehen Sie unter variablen Kosten?,Mit Hilfe der Fahrzeugkostenrechnung wird geprüft. ob der Einsatz der Fahrzeuge in einem bestimmten Abrechnungszeitraum in der Vergangenheit wirtschaftlich erfolgte.,Kontrolle des wirtschaftlichen Einsatz (Rentabilität).,Leistungsabhängige oder veränderliche Kosten.,Bewegliche Kosten sind Kosten. die durch den Einsatz des Kfz entstehen. Sie fallen nur an. wenn der Wagen fährt.,Durch eine Kalkulation soll festgestellt werden. ob das zu erzielende Beförderungsentgelt ausreicht. um die Kosten zu decken (Preisbeurteilung) und wie hoch das Beförderungsentgelt mindestens sein muss. damit die Kosten gedeckt werden (Preisbildung). Dies geschieht durch Berechnung der Selbstkosten. die dem Erlös gegenübergestellt werden,Alle Einnahmen in Geld oder Gütern. die dem Taxi- und Mietwagenunternehmer im Rahmen des Betriebes zufließen. (Beförderungsentgelte oder Mietpreise. Entgelte aus dem Verkauf von gebrauchten Kfz und anderen Wirtschaftsgütern des Anlagevermögens. Erstattung aus betrieblichen Versicherungsverträgen. Schadensersatzleistungen Dritter bei Unfällen. Rückzahlung überzahlter Gewerbesteuern und Leistung einer Unfallversicherung usw.),Alle zur Durchführung und Aufrechterhaltung des Betrie Alle zur Durchführung und Aufrechterhaltung des Betrie,Feste Kosten sind Kosten. die immer anfallen. also zeitabhängige Kosten. und unabhängig von der Leistung des Kfz,
Was ist unter fixen Kosten zu verstehen?,Mit Hilfe der Fahrzeugkostenrechnung wird geprüft. ob der Einsatz der Fahrzeuge in einem bestimmten Abrechnungszeitraum in der Vergangenheit wirtschaftlich erfolgte.,Kontrolle des wirtschaftlichen Einsatz (Rentabilität).,Leistungsabhängige oder veränderliche Kosten.,Bewegliche Kosten sind Kosten. die durch den Einsatz des Kfz entstehen. Sie fallen nur an. wenn der Wagen fährt.,Alle nicht leistungsabhängigen Aufwendungen.,Alle Einnahmen in Geld oder Gütern. die dem Taxi- und Mietwagenunternehmer im Rahmen des Betriebes zufließen. (Beförderungsentgelte oder Mietpreise. Entgelte aus dem Verkauf von gebrauchten Kfz und anderen Wirtschaftsgütern des Anlagevermögens. Erstattung aus betrieblichen Versicherungsverträgen. Schadensersatzleistungen Dritter bei Unfällen. Rückzahlung überzahlter Gewerbesteuern und Leistung einer Unfallversicherung usw.),Alle zur Durchführung und Aufrechterhaltung des Betrie Alle zur Durchführung und Aufrechterhaltung des Betrie,Feste Kosten sind Kosten. die immer anfallen. also zeitabhängige Kosten. und unabhängig von der Leistung des Kfz,
Welche der nachfolgenden Kosten sind variable Kosten? Kreuzen Sie an.,Finanzierungskosten,Kontrolle des wirtschaftlichen Einsatz (Rentabilität).,Leistungsabhängige oder veränderliche Kosten.,Bewegliche Kosten sind Kosten. die durch den Einsatz des Kfz entstehen. Sie fallen nur an. wenn der Wagen fährt.,Alle nicht leistungsabhängigen Aufwendungen.,(x) Reifen,Kfz-Versicherung,Garagenmiete.,
Nennen Sie mindestens 5 feste Kosten der Selbstkostenkalkulation.,Kfz-Kaskoversicherung.,Kfz-Steuer.,Kfz-Haftpflichtversicherung.,Entwertung.,Allgemeine Verwaltungskosten (AVK),Mieten,Kapitalverzinsung,Unternehmerlohn.,
Nennen Sie mindestens 5 bewegliche Kosten der Kalkulation.,Kraftstoffkosten,Schmierstoffkosten.,Kfz-Haftpflichtversicherung.,Reifenkosten,Reparaturkosten.,Mieten,Abnutzung.,Unternehmerrisiko,
Sind die Fahrpersonalkosten den beweglichen oder den festen kosten zuzuordnen?,Kraftstoffkosten,Schmierstoffkosten.,Die Fahrpersonalkosten sind weder den beweglichen noch den festen Fahrzeugkosten zuzurechnen. Sie sind der dritte Kostenblock der Kostenrechnung.,Reifenkosten,Reparaturkosten.,Mieten,Abnutzung.,Unternehmerrisiko,
Werden die Preise in der Kostenkalkulation mit oder ohne MwSt. berechnet?,Kraftstoffkosten,Schmierstoffkosten.,Die Fahrpersonalkosten sind weder den beweglichen noch den festen Fahrzeugkosten zuzurechnen. Sie sind der dritte Kostenblock der Kostenrechnung.,Reifenkosten,Reparaturkosten.,Ohne MwSt..,Abnutzung.,Unternehmerrisiko,
Nennen Sie 5 Kostenarten. die in die allgemeinen Verwaltungskosten gerechnet werd,Büromiete.,Schmierstoffkosten.,Steuerberater,Abschreibung von Büroausstattung.,Gehälter.,Ohne MwSt.., Strom.,Telefon..,
a) Erläutern Sie den Begriff “Unternehmerrisiko“. b) Wie berechnet man das „betriebsnotwendige Vermögen“? c) Wozu muss es berechnet werden?,Büromiete.,a) Mit dem U-Risiko sollen unvorhersehbare aber kalkulierbare Risiken abgedeckt werden. wie z.B. • Forderungsausfälle. • Selbstbeteiligung bei Kasko-Versicherung. • Preissteigerungen.,Steuerberater,Abschreibung von Büroausstattung.,Gehälter.,b) halber Kaufpreis + Umlaufvermögen, Strom.,c) Zur Ermittlung der Kapitalverzinsung!,
Weshalb wird in der Fahrzeugkostenrechnung Unternemmerslohn kalkuliert?,Büromiete.,a) Mit dem U-Risiko sollen unvorhersehbare aber kalkulierbare Risiken abgedeckt werden. wie z.B. • Forderungsausfälle. • Selbstbeteiligung bei Kasko-Versicherung. • Preissteigerungen.,Steuerberater,Abschreibung von Büroausstattung.,Gehälter.,Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Um die Mitarbeit des Unternehmers im Betrieb zu berücksichtigen., Strom.,
Wie sind die Arbeitszeiten für den selbstfahrenden Unternehmer im Rahmen der Kostenrechnung anzusetzen?,Büromiete.,a) Mit dem U-Risiko sollen unvorhersehbare aber kalkulierbare Risiken abgedeckt werden. wie z.B. • Forderungsausfälle. • Selbstbeteiligung bei Kasko-Versicherung. • Preissteigerungen.,In den Fahrpersonalkosten.,Abschreibung von Büroausstattung.,Gehälter.,Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Um die Mitarbeit des Unternehmers im Betrieb zu berücksichtigen., Strom.,
In den Fahrpersonalkosten.,Büromiete.,a) Mit dem U-Risiko sollen unvorhersehbare aber kalkulierbare Risiken abgedeckt werden. wie z.B. • Forderungsausfälle. • Selbstbeteiligung bei Kasko-Versicherung. • Preissteigerungen.,In den Fahrpersonalkosten.,Der U-Lohn stellt ein Entgelt für die Mitarbeit des Unternehmers im Betrieb dar. Der U-Risiko soll unvorhersehbare Tatbestände im Betriebsablauf abdecken,Gehälter.,Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Um die Mitarbeit des Unternehmers im Betrieb zu berücksichtigen., Strom.,
Was ist bei der Fahrzeugkostenrechnung zu berücksichtigen. wenn der Unternehmer sein Kfz ausschließlich selbst fahrt?,Büromiete.,a) Mit dem U-Risiko sollen unvorhersehbare aber kalkulierbare Risiken abgedeckt werden. wie z.B. • Forderungsausfälle. • Selbstbeteiligung bei Kasko-Versicherung. • Preissteigerungen.,In den Fahrpersonalkosten.,Der U-Lohn stellt ein Entgelt für die Mitarbeit des Unternehmers im Betrieb dar. Der U-Risiko soll unvorhersehbare Tatbestände im Betriebsablauf abdecken,Gehälter.,Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Um die Mitarbeit des Unternehmers im Betrieb zu berücksichtigen.,Es sollen Fahrpersonalkosten in ortsüblicher Höhe. U-Lohn und U-Risiko berücksichtigt werden.,
Was ist unter dem Begriff “Einsatztage“ zu verstehen?,Die Tage. an denen das Fahrzeug im Einsatz war und Umsatz eingefahren hat.,a) Mit dem U-Risiko sollen unvorhersehbare aber kalkulierbare Risiken abgedeckt werden. wie z.B. • Forderungsausfälle. • Selbstbeteiligung bei Kasko-Versicherung. • Preissteigerungen.,In den Fahrpersonalkosten.,Der U-Lohn stellt ein Entgelt für die Mitarbeit des Unternehmers im Betrieb dar. Der U-Risiko soll unvorhersehbare Tatbestände im Betriebsablauf abdecken,Gehälter.,Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Um die Mitarbeit des Unternehmers im Betrieb zu berücksichtigen.,Es sollen Fahrpersonalkosten in ortsüblicher Höhe. U-Lohn und U-Risiko berücksichtigt werden.,
Was bedeutet „Wertminderung“ eines PKW. wie errechnet sie sich. welcher Kostenart wird sie zugerechnet?,Die Tage. an denen das Fahrzeug im Einsatz war und Umsatz eingefahren hat.,Abschreibung den Wertverlust eingesetzter Anlagegegenstände (Pkw. Funkeinrichtung usw.) durch die als Erfahrungswert angenommene Lebensdauer. z.B. 4 J. und leistungsbezogen die Abnutzung durch den individuellen Betriebseinsatz. z.B. durch die gefahren km des Pkw,In den Fahrpersonalkosten.,Der U-Lohn stellt ein Entgelt für die Mitarbeit des Unternehmers im Betrieb dar. Der U-Risiko soll unvorhersehbare Tatbestände im Betriebsablauf abdecken,Gehälter.,Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Um die Mitarbeit des Unternehmers im Betrieb zu berücksichtigen.,Es sollen Fahrpersonalkosten in ortsüblicher Höhe. U-Lohn und U-Risiko berücksichtigt werden.,
Was bedeutet „AfA“. wie errechnet sie sich. welcher Kostenart wird sie zugerechnet?,Die Tage. an denen das Fahrzeug im Einsatz war und Umsatz eingefahren hat.,Abschreibung den Wertverlust eingesetzter Anlagegegenstände (Pkw. Funkeinrichtung usw.) durch die als Erfahrungswert angenommene Lebensdauer. z.B. 4 J. und leistungsbezogen die Abnutzung durch den individuellen Betriebseinsatz. z.B. durch die gefahren km des Pkw,In den Fahrpersonalkosten.,AfA- Absetzung für die Abnutzung. Variable Kosten.,Gehälter.,Regelmäßigkeit - die Planung sollte nicht erst dann beginnen. wenn finanzielle Probleme bereits bestehen.,Um die Mitarbeit des Unternehmers im Betrieb zu berücksichtigen.,Es sollen Fahrpersonalkosten in ortsüblicher Höhe. U-Lohn und U-Risiko berücksichtigt werden.,
Was bedeutet „Nutzungsausfall“. wie wird er berechnet?,Die Tage. an denen das Fahrzeug im Einsatz war und Umsatz eingefahren hat.,Abschreibung den Wertverlust eingesetzter Anlagegegenstände (Pkw. Funkeinrichtung usw.) durch die als Erfahrungswert angenommene Lebensdauer. z.B. 4 J. und leistungsbezogen die Abnutzung durch den individuellen Betriebseinsatz. z.B. durch die gefahren km des Pkw,In den Fahrpersonalkosten.,AfA- Absetzung für die Abnutzung. Variable Kosten.,Gehälter.,Der Einsatzausfall des Pkw aufgrund eines Unfalls durch Fremdverschulden.,Um die Mitarbeit des Unternehmers im Betrieb zu berücksichtigen.,Es sollen Fahrpersonalkosten in ortsüblicher Höhe. U-Lohn und U-Risiko berücksichtigt werden.,