Welche Vorschriften müssen Sie beachten. wenn Sie Personen im grenzüberschreitenden Verkehr mit Kfz. befördern möchten?,Gelten die PBefG-Vorschriften und die dazu erlassenen Rechtsverordnungen. Abweichende Regelungen können sich aus internationalen Abkommen ergeben. Die ausländischen Vorschriften sind zu beachten.,Nein. Die meisten internationalen Verkehrsabkommen erlauben dies nur. wenn hierfür eine besondere Genehmigung erteilt worden ist.,Fahrzeugschein. AU-Bescheinigung.,Genehmigungsurkunde oder den Konzessionsauszug,internationale grüne Versicherungskarte,ein Visum,Funkgenehmigungsurkunde,die geltende Taxi- und Tarifordnung,
Dürfen Sie nach der Beförderung eines Fahrgastes ins Ausland dort ausländische Fahrgäste aufnehmen. die nach Deutschland fahren möchten?,Gelten die PBefG-Vorschriften und die dazu erlassenen Rechtsverordnungen. Abweichende Regelungen können sich aus internationalen Abkommen ergeben. Die ausländischen Vorschriften sind zu beachten.,Nein. Die meisten internationalen Verkehrsabkommen erlauben dies nur. wenn hierfür eine besondere Genehmigung erteilt worden ist.,Fahrzeugschein. AU-Bescheinigung.,Genehmigungsurkunde oder den Konzessionsauszug,internationale grüne Versicherungskarte,ein Visum,Funkgenehmigungsurkunde,die geltende Taxi- und Tarifordnung,
Welche Papiere und Dokumente hat der Fahrer bei der grenzüberschreitenden Personenbeförderung (ins Ausland) mitzuführen?,Führerschein.,Fahrerlaubnis zur Fahrgastbeförderung.,Fahrzeugschein. AU-Bescheinigung.,Genehmigungsurkunde oder den Konzessionsauszug,internationale grüne Versicherungskarte,ein Visum,Funkgenehmigungsurkunde,die geltende Taxi- und Tarifordnung,
Haben Sie. wenn Sie ein Funkgerät im Kfz installiert haben. etwas Besonders zu beachten?,Führerschein.,Fahrerlaubnis zur Fahrgastbeförderung.,Ja. der Funk muss abgeschaltet (keine Betriebsbereitschaft) oder sogar ganz ausgebaut werden. wenn keine zusätzlich Funkgenehmigung vorhandeln.,Genehmigungsurkunde oder den Konzessionsauszug,internationale grüne Versicherungskarte,ein Visum,Funkgenehmigungsurkunde,die geltende Taxi- und Tarifordnung,
Mit welchen zusätzlichen Kosten muss der Unternehmer bei einer Auslandsbeförderung rechnen?,Führerschein.,Fahrerlaubnis zur Fahrgastbeförderung.,Ja. der Funk muss abgeschaltet (keine Betriebsbereitschaft) oder sogar ganz ausgebaut werden. wenn keine zusätzlich Funkgenehmigung vorhandeln.,Autobahn- und Tunnelbenutzungsgebühren.,Mautgebühren.,Steuern und Zölle.,Übernachtungsgebühren.,Erhöhung der Lohnkosten durch Überstunden und Spesen,
Unter welchen besonderen Bedingungen dürfen Haustiere ins Ausland mitgenommen werden?,Führerschein.,es ist wichtig. dass je nach Tier eine Leine bzw. ein Beißkorb mitgeführt wird.,wenn der Eigentümer gültige Impfpapiere fürs Tier hat.,Autobahn- und Tunnelbenutzungsgebühren.,Mautgebühren.,Steuern und Zölle.,Übernachtungsgebühren.,Erhöhung der Lohnkosten durch Überstunden und Spesen,
Dürfen die Grenzbeamten Fahrzeuge zurückweisen. wenn die notwendigen Papiere und Dokumente,Führerschein.,es ist wichtig. dass je nach Tier eine Leine bzw. ein Beißkorb mitgeführt wird.,wenn der Eigentümer gültige Impfpapiere fürs Tier hat.,Autobahn- und Tunnelbenutzungsgebühren.,Mautgebühren.,Steuern und Zölle.,Übernachtungsgebühren.,Ja,
Was ist bei einer Fahrt mit dem Taxi ins Ausland zu beachten?,Entfernen oder Abdecken des Taxi-Schildes.,Polizeikräfte (Botschaft/Konsulat. z. B. im Ostblock sinnvoll) des anderen Staates hinzuziehen,Funkverbot ohne Extra Genehmigung.,durch die Mitnahme der grüne Versicherungskarte kann den Nachweis über zuständige Versicherung vorweisen.,„D“-Schild hinten (innerhalb der EU einheitlich blau).,a. eigenes Ersatzfahrzeug oder Vermittlung eines Subunternehmers dem Fahrgast anbieten. Mit Zustimmung des Fahrgastes kann der Auftrag storniert werden oder anderer Unternehmer kann den Fahrauftrag erledigen. Ein Unfall muss in verschiedenen Behörden gemeldet werden: Polizei. Berufsgenossenschaft. Durchschrift an Amt für Arbeitsschutz. Krankenkasse. StVO (bei längeren Betriebsunterbrechungen des Taxibetriebs). Kfz-Versicherung. B,Beachtung unterschiedlicher Verkehrs- und Zollbestimmungen,Umsatzsteuerfreiheit für Umsätze in Drittländern.,
Umsatzsteuerfreiheit für Umsätze in Drittländern.,Entfernen oder Abdecken des Taxi-Schildes.,Polizeikräfte (Botschaft/Konsulat. z. B. im Ostblock sinnvoll) des anderen Staates hinzuziehen,Funkverbot ohne Extra Genehmigung.,durch die Mitnahme der grüne Versicherungskarte kann den Nachweis über zuständige Versicherung vorweisen.,„D“-Schild hinten (innerhalb der EU einheitlich blau).,a. eigenes Ersatzfahrzeug oder Vermittlung eines Subunternehmers dem Fahrgast anbieten. Mit Zustimmung des Fahrgastes kann der Auftrag storniert werden oder anderer Unternehmer kann den Fahrauftrag erledigen. Ein Unfall muss in verschiedenen Behörden gemeldet werden: Polizei. Berufsgenossenschaft. Durchschrift an Amt für Arbeitsschutz. Krankenkasse. StVO (bei längeren Betriebsunterbrechungen des Taxibetriebs). Kfz-Versicherung. B,Beachtung unterschiedlicher Verkehrs- und Zollbestimmungen,Umsatzsteuerfreiheit für Umsätze in Drittländern.,
Gibt es eine Beförderungspflicht und eine Meldepflicht nach Unfällen im Ausland?,Entfernen oder Abdecken des Taxi-Schildes.,Polizeikräfte (Botschaft/Konsulat. z. B. im Ostblock sinnvoll) des anderen Staates hinzuziehen,Funkverbot ohne Extra Genehmigung.,durch die Mitnahme der grüne Versicherungskarte kann den Nachweis über zuständige Versicherung vorweisen.,„D“-Schild hinten (innerhalb der EU einheitlich blau).,a. eigenes Ersatzfahrzeug oder Vermittlung eines Subunternehmers dem Fahrgast anbieten. Mit Zustimmung des Fahrgastes kann der Auftrag storniert werden oder anderer Unternehmer kann den Fahrauftrag erledigen. Ein Unfall muss in verschiedenen Behörden gemeldet werden: Polizei. Berufsgenossenschaft. Durchschrift an Amt für Arbeitsschutz. Krankenkasse. StVO (bei längeren Betriebsunterbrechungen des Taxibetriebs). Kfz-Versicherung. B,Beachtung unterschiedlicher Verkehrs- und Zollbestimmungen,Umsatzsteuerfreiheit für Umsätze in Drittländern.,
Wie ist es mit der Haftung bei Schäden im Ausland?,Entfernen oder Abdecken des Taxi-Schildes.,Polizeikräfte (Botschaft/Konsulat. z. B. im Ostblock sinnvoll) des anderen Staates hinzuziehen,Funkverbot ohne Extra Genehmigung.,durch die Mitnahme der grüne Versicherungskarte kann den Nachweis über zuständige Versicherung vorweisen.,„D“-Schild hinten (innerhalb der EU einheitlich blau).,a. eigenes Ersatzfahrzeug oder Vermittlung eines Subunternehmers dem Fahrgast anbieten. Mit Zustimmung des Fahrgastes kann der Auftrag storniert werden oder anderer Unternehmer kann den Fahrauftrag erledigen. Ein Unfall muss in verschiedenen Behörden gemeldet werden: Polizei. Berufsgenossenschaft. Durchschrift an Amt für Arbeitsschutz. Krankenkasse. StVO (bei längeren Betriebsunterbrechungen des Taxibetriebs). Kfz-Versicherung. B,Beachtung unterschiedlicher Verkehrs- und Zollbestimmungen,Der Unternehmer haftet auf jeden Fall für die Erfüllung des Vertrages.,
Das Fahrzeug hat ein neues Kennzeichen mit Nationalitätszeichen. Darf ein Kontrollbeamter das fehlende „D-Schild“ beanstanden und ein Bußgeld verhängen?,Entfernen oder Abdecken des Taxi-Schildes.,Polizeikräfte (Botschaft/Konsulat. z. B. im Ostblock sinnvoll) des anderen Staates hinzuziehen,Funkverbot ohne Extra Genehmigung.,durch die Mitnahme der grüne Versicherungskarte kann den Nachweis über zuständige Versicherung vorweisen.,Nein. es darf nicht beanstandet und somit auch nicht geahndet werden. Das Nummernschild reicht aus,a. eigenes Ersatzfahrzeug oder Vermittlung eines Subunternehmers dem Fahrgast anbieten. Mit Zustimmung des Fahrgastes kann der Auftrag storniert werden oder anderer Unternehmer kann den Fahrauftrag erledigen. Ein Unfall muss in verschiedenen Behörden gemeldet werden: Polizei. Berufsgenossenschaft. Durchschrift an Amt für Arbeitsschutz. Krankenkasse. StVO (bei längeren Betriebsunterbrechungen des Taxibetriebs). Kfz-Versicherung. B,Beachtung unterschiedlicher Verkehrs- und Zollbestimmungen,Der Unternehmer haftet auf jeden Fall für die Erfüllung des Vertrages.,
Sie sind Taxi- und Mietwagenunternehmer und bekommen einen Beförderungsauftrag nach Ausland. Ihr Kfz. hat altes Kennzeichen ohne Nationalitätszeichen. Was müssen Sie tun?,Entfernen oder Abdecken des Taxi-Schildes.,Polizeikräfte (Botschaft/Konsulat. z. B. im Ostblock sinnvoll) des anderen Staates hinzuziehen,Funkverbot ohne Extra Genehmigung.,durch die Mitnahme der grüne Versicherungskarte kann den Nachweis über zuständige Versicherung vorweisen.,Nein. es darf nicht beanstandet und somit auch nicht geahndet werden. Das Nummernschild reicht aus,a. eigenes Ersatzfahrzeug oder Vermittlung eines Subunternehmers dem Fahrgast anbieten. Mit Zustimmung des Fahrgastes kann der Auftrag storniert werden oder anderer Unternehmer kann den Fahrauftrag erledigen. Ein Unfall muss in verschiedenen Behörden gemeldet werden: Polizei. Berufsgenossenschaft. Durchschrift an Amt für Arbeitsschutz. Krankenkasse. StVO (bei längeren Betriebsunterbrechungen des Taxibetriebs). Kfz-Versicherung. B,Sie besorgen sich neue amtliche Kennzeichen mit nationalem Unterscheidungszeichen am linken Rand oder Sie bringen ein Nationalitätszeichen am Fahrzeugheck an.,Der Unternehmer haftet auf jeden Fall für die Erfüllung des Vertrages.,
Sie haben mit Ihrem Mw. einen Fahrgast nach Ausland befördert. Sie sind bereits auf der Rückfahrt als Ihnen am Straßenrand ein Fahrgast winkt. der nach BRD befördert werden möchte. Führen Sie den Fahrtauftrag aus?,Entfernen oder Abdecken des Taxi-Schildes.,Polizeikräfte (Botschaft/Konsulat. z. B. im Ostblock sinnvoll) des anderen Staates hinzuziehen,Nein. Die Aufnahme unterwegs Winkender ist untersagt.,durch die Mitnahme der grüne Versicherungskarte kann den Nachweis über zuständige Versicherung vorweisen.,Nein. es darf nicht beanstandet und somit auch nicht geahndet werden. Das Nummernschild reicht aus,a. eigenes Ersatzfahrzeug oder Vermittlung eines Subunternehmers dem Fahrgast anbieten. Mit Zustimmung des Fahrgastes kann der Auftrag storniert werden oder anderer Unternehmer kann den Fahrauftrag erledigen. Ein Unfall muss in verschiedenen Behörden gemeldet werden: Polizei. Berufsgenossenschaft. Durchschrift an Amt für Arbeitsschutz. Krankenkasse. StVO (bei längeren Betriebsunterbrechungen des Taxibetriebs). Kfz-Versicherung. B,Sie besorgen sich neue amtliche Kennzeichen mit nationalem Unterscheidungszeichen am linken Rand oder Sie bringen ein Nationalitätszeichen am Fahrzeugheck an.,Der Unternehmer haftet auf jeden Fall für die Erfüllung des Vertrages.,
Dürfen Sie als Mw.-Unternehmer die Beförderung durchführen. wenn Sie der Fahrgast erst kurz nach der Überquerung der Deutschen Grenze heranwinkt?,Entfernen oder Abdecken des Taxi-Schildes.,Polizeikräfte (Botschaft/Konsulat. z. B. im Ostblock sinnvoll) des anderen Staates hinzuziehen,Nein. Die Aufnahme unterwegs Winkender ist untersagt.,durch die Mitnahme der grüne Versicherungskarte kann den Nachweis über zuständige Versicherung vorweisen.,Nein. es darf nicht beanstandet und somit auch nicht geahndet werden. Das Nummernschild reicht aus,Nein. Mietwagenunternehmer darf keine Fahrgäste von der Straße ohne vorherigen Auftrag mitnehmen. Der Mietwagen hat nach Ausführung eines Beförderungsauftrages unverzüglich Rückkehrpflicht.,Sie besorgen sich neue amtliche Kennzeichen mit nationalem Unterscheidungszeichen am linken Rand oder Sie bringen ein Nationalitätszeichen am Fahrzeugheck an.,Der Unternehmer haftet auf jeden Fall für die Erfüllung des Vertrages.,
Erläutern Sie die Umsatzsteuerberechnung im grenzüberschreitenden Verkehr mit Taxen oder Mietwagen.,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. für die Auslandsstrecke gilt das nationale Recht des Staates. in dem dieser Teil der Beförderung stattfindet.,Polizeikräfte (Botschaft/Konsulat. z. B. im Ostblock sinnvoll) des anderen Staates hinzuziehen,Nein. Die Aufnahme unterwegs Winkender ist untersagt.,durch die Mitnahme der grüne Versicherungskarte kann den Nachweis über zuständige Versicherung vorweisen.,Nein. es darf nicht beanstandet und somit auch nicht geahndet werden. Das Nummernschild reicht aus,Nein. Mietwagenunternehmer darf keine Fahrgäste von der Straße ohne vorherigen Auftrag mitnehmen. Der Mietwagen hat nach Ausführung eines Beförderungsauftrages unverzüglich Rückkehrpflicht.,Sie besorgen sich neue amtliche Kennzeichen mit nationalem Unterscheidungszeichen am linken Rand oder Sie bringen ein Nationalitätszeichen am Fahrzeugheck an.,Der Unternehmer haftet auf jeden Fall für die Erfüllung des Vertrages.,
Wie wird dieser inländische Teil berechnet?,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. für die Auslandsstrecke gilt das nationale Recht des Staates. in dem dieser Teil der Beförderung stattfindet.,Polizeikräfte (Botschaft/Konsulat. z. B. im Ostblock sinnvoll) des anderen Staates hinzuziehen,Nein. Die Aufnahme unterwegs Winkender ist untersagt.,Beförderungspreis für die gesamte Strecke multipliziert mit der Anzahl der Kilometer der inländischen Beförderungsstrecke geteilt durch Anzahl der Kilometer der Gesamtstrecke = steuerbarer Entgeltanteil für die inländische Beförderungsstrecke.,Nein. es darf nicht beanstandet und somit auch nicht geahndet werden. Das Nummernschild reicht aus,Nein. Mietwagenunternehmer darf keine Fahrgäste von der Straße ohne vorherigen Auftrag mitnehmen. Der Mietwagen hat nach Ausführung eines Beförderungsauftrages unverzüglich Rückkehrpflicht.,Sie besorgen sich neue amtliche Kennzeichen mit nationalem Unterscheidungszeichen am linken Rand oder Sie bringen ein Nationalitätszeichen am Fahrzeugheck an.,Der Unternehmer haftet auf jeden Fall für die Erfüllung des Vertrages.,