Wie ist der Geldverkehr zu buchen?,Einnahmen und Ausgaben sind täglich lückenlos und fortlaufend im Kassenbuch aufzuzeichnen.,Auf die Richtigkeit des Geldverkehrs.,Wenn bei Überprüfung durch die Finanzbehörde keine Stichtage ermitteln an denen bei Aufrechnung und Saldierung beider Kassenspaltenbeträge unter Berücksichtigung der Kassenvorträge Überausgaben festzustellen sind.,Es werden die Gesamteinnahmen und die Gesamtausgaben festgestellt und beide Seiten durch Einfügen des Unterschiedsbetrages ausgeglichen.,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung.,weil die Vorsteuer verrechnet wird,Unterkonto des Kapitalkontos das die private Entnahmen und Einlagen widerspiegelt.,Umsatzsteuer
Wie stimmt man die Kasse kurzfristig ab?,Zuerst wird die Einnahmen- und die Ausgabenseite bis zu bestimmten Stichtag unter Berücksichtigung des Kassenvortrages aufaddiert und der Sollbetrag um den Habenbetrag gekürzt. Als Saldo ergibt sich der Kassenbestand.,Umsatzsteuer,Für alle Lieferungen und Leistungen die der Unternehmer im Inland gegen Entgelt erbringt.,Im Bruttobetrag enthaltene Steuerprozentsatz muss genannt werden,dass die Angaben zur Firma auf den,die Bezeichnung als Zusatz führen,dass er einen geeigneten Firmennamen wählt,weil die Vorsteuer verrechnet wird
Worauf kommt es bei der Kassenführung besonders an?,Auf die Richtigkeit des Geldverkehrs.,weil die Vorsteuer verrechnet wird,Im Bruttobetrag enthaltene Steuerprozentsatz muss genannt werden,dass die Angaben zur Firma auf den,die Bezeichnung als Zusatz führen,dass er einen geeigneten Firmennamen wählt,weil die Vorsteuer verrechnet wird,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung.
Wann ist dies erfüllt?,Wenn bei Überprüfung durch die Finanzbehörde keine Stichtage ermitteln an denen bei Aufrechnung und Saldierung beider Kassenspaltenbeträge unter Berücksichtigung der Kassenvorträge Überausgaben festzustellen sind.,25 % des zu versteuernden Einkommens,Der Einkommensteuersatz steigt mit zunehmendem zu versteuerndem Einkommen von 19 % auf 45 %,Weihnachtsgeld,Urlaubsgeld,Sozialversicherungsanteil,haftet für Lohnsteuerabzug.,Bruttobetrag
Wie schließt man ein Kassenbuch ab?,Es werden die Gesamteinnahmen und die Gesamtausgaben festgestellt und beide Seiten durch Einfügen des Unterschiedsbetrages ausgeglichen.,Bruttobetrag,Weihnachtsgeld,Urlaubsgeld,Im Bruttobetrag enthaltene Steuerprozentsatz muss genannt werden,die Bezeichnung als Zusatz führen,Umsatzsteuer,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung.
Wodurch erhält man ein Bild von der wirtschaftlichen Lage des Betriebes?,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung.,Bruttobetrag,der Mehrwertsteuersatz,Rechnungsnummer und -datum,Gegenstand und Datum der Leistung,Aus dem Umsatzsteuergesetz,Gewerbesteuer,Körperschaftsteuer
Was ist ein Privatkonto?,Unterkonto des Kapitalkontos das die private Entnahmen und Einlagen widerspiegelt.,Körperschaftsteuer,Gewerbesteuer,Umsatzsteuer,Gewerbesteuer,Kirchensteuer,Kraftfahrzeugsteuer,Mineralölsteuer
Was sind die wesentlichen Steuerarten?,Umsatzsteuer,Einkommensteuer einschließlich Lohnsteuer,Körperschaftsteuer,Gewerbesteuer,Kirchensteuer,Kraftfahrzeugsteuer,Kraftfahrzeugsteuer,Vermögenssteuer
Welche Steuern hat ein Taxi- und Mietwagenunternehmer in der Regel zu entrichten?,Umsatzsteuer,Einkommensteuer und die Kirchensteuer,Körperschaftsteuer,Gewerbesteuer,Kraftfahrzeugsteuer,Mineralölsteuer,Umsatzsteuer,Kraftfahrzeugsteuer
Worauf muss man Umsatzsteuer (Mehrwertsteuer) zahlen?,Für alle Lieferungen und Leistungen die der Unternehmer im Inland gegen Entgelt erbringt.,Umsatzsteuer,Einkommensteuer und die Kirchensteuer,Körperschaftsteuer,Gewerbesteuer,Mineralölsteuer,Körperschaftsteuer,Auf die Richtigkeit des Geldverkehrs
Was ist das wesentliche Merkmal der Umsatzsteuer (Mehrwertsteuer)?,Umsatzsteuer ist kosten- und wettbewerbsneutral und wirtschaftlich eine Verbrauchsteuer die vom privaten Endverbraucher bezahlt wird.,Aus dem Umsatzsteuergesetz,Die Steuerschuld ist der Betrag der sich aus dem anzuwendenden Steuersatz ergibt,Kraftfahrzeugsteuer,Gewerbesteuer,Körperschaftsteuer,Mineralölsteuer,Bruttobetrag
Geht die Umsatzsteuer in die Kostenrechnung ein?,Nein sie wird auf das Entgelt aufgeschlagen und muss in Rechnung gestellt werden.,Bruttobetrag,• Gegenstand und Datum der Leistung,der Mehrwertsteuersatz,lle natürlichen Personen unterliegen der Einkommensteuer.,Weihnachtsgeld,Urlaubsgeld,Überstundenzuschläge
Muss ein Unternehmer die Umsatzsteuer auf Rechnungen gesondert ausweisen?,Er ist auf Verlangen verpflichtet Rechnungen auszustellen in denen die Steuer getrennt ausgewies,Überstundenzuschläge,Weihnachtsgeld,Urlaubsgeld,Spesen,vermögenswirksame Leistungen,Rechnungsnummer und -datum,Mehrwertsteuer als Satz und als Betrag
Woraus ergibt sich diese Verpflichtung?,Aus dem Umsatzsteuergesetz,Mehrwertsteuer als Satz und als Betrag,Bruttobetrag,der Mehrwertsteuersatz,Nettobetrag für die Leistung,Mehrwertsteuer als Satz und als Betrag,Zu den gleichen Terminen die für die Abgabe der Voranmeldungen gelten.,Ausnahmslos der allgemeine Steuersatz 19%
Was versteht man unter einer Steuerschuld?,Die Steuerschuld ist der Betrag der sich aus dem anzuwendenden Steuersatz ergibt,Ausnahmslos der allgemeine Steuersatz 19%,Aus dem Umsatzsteuergesetz,Für alle Lieferungen und Leistungen die der Unternehmer im Inland gegen Entgelt erbringt.,Kraftfahrzeugsteuer,Umsatzsteuer,Körperschaftsteuer,Mineralölsteuer
Wie hoch ist im Taxiverkehr die Umsatzsteuer?,Der volle Steuersatz beträgt 19% der ermäßigte Steuersatz 7% gilt für Taxifahrten innerhalb der Gemeinde wenn die Beförderungsstrecke nicht mehr als 50 km beträgt,Mineralölsteuer,Kirchensteuer,Kraftfahrzeugsteuer,Mineralölsteuer,Grundsteuer,Erbschaftsteuer und Schenkungssteuer,Umsatzsteuer
Gilt der ermäßigte Umsatzsteuersatz wenn der Taxifahrer ein Paket transportiert?,Nein nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert,Umsatzsteuer,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung,Einkommensteuer einschließlich Lohnsteuer,Körperschaftsteuer,Einnahmen und Ausgaben sind täglich lückenlos und fortlaufend im Kassenbuch aufzuzeichnen.,Genauso wie Zahllast: Umsatzsteuer abzüglich Vorsteuer für bestimmte Zeitraum,Ausnahmslos der allgemeine Steuersatz 19%
Was gilt im Mietwagenverkehr für ein Umsatzsteuersatz?,Ausnahmslos der allgemeine Steuersatz 19%.,Vermögenssteuer,Einkommensteuer und die Kirchensteuer ,Mineralölsteuer,Kraftfahrzeugsteuer,Einkommensteuer einschließlich Lohnsteuer,Unterkonto des Kapitalkontos das die private Entnahmen und Einlagen widerspiegelt.,Auf die Richtigkeit des Geldverkehrs
Was versteht man unter der Vorsteuer?,Die Vorsteuer ist der Umsatzsteuerbetrag der auf der Eingangsrechnung ausgewiesen ist.,Auf die Richtigkeit des Geldverkehrs,Umsatzsteuer,Kirchensteuer,Mineralölsteuer,Vermögenssteuer,Grundsteuer,Körperschaftsteuer
Wofür werden einem Taxi- oder Mietwagenunternehmer Vorsteuern in Rechnung gestellt?,Unternehmer findet Vorsteuern auf den Rechnungen für die erworbenen Investitionsgüter (Fahrzeuge- Maschinen usw.) und auf den Lieferantenrechnungen für Reifen und Treibstoffe. Das Gleiche gilt für Reparaturrechnungen.,Körperschaftsteuer,Aus dem Umsatzsteuergesetz.,Die Steuerschuld ist der Betrag der sich aus dem anzuwendenden Steuersatz ergibt.,Für alle Lieferungen und Leistungen die der Unternehmer im Inland gegen Entgelt erbringt.,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung,Kirchensteuer,Grundsteuer
Wann brauchen Sie keine Vorsteuer zu zahlen? Welche Regelung gilt MwSt-rechtlich für den „Kleinunternehmer“?,Die Unternehmer mit einem Vorjahresumsatz bis 17.500 € und im laufenden Jahr zu erwartenden Umsatz bis 50.000€ sind von der Umsatzsteuer auf Antrag befreit.,Grundsteuer,sie wird auf das Entgelt aufgeschlagen und muss in Rechnung gestellt werden,Aus dem Umsatzsteuergesetz.,Ausnahmslos der allgemeine Steuersatz 19%.,Spesen,Nettobetrag für die Leistung,• der Mehrwertsteuersatz
Was versteht man unter der Zahllast? Was ist die Zahllast?,Die Zahllast ist: Umsatzsteuer abzüglich Vorsteuer. Es ergibt sich der Betrag der entweder ans Finanzamt abzuführen ist oder der Unternehmer vom Finanzamt erstattet bekommt (Vorsteuer überwiegt).,• der Mehrwertsteuersatz,Die Entnahme von Gegenständen und sonstigen Leistungen für unternehmensfremde Zwecke (z.B. private Geschäftsfahrzeug-Nutzung).,Urlaubsgeld,Urlaubsgeld,Überstundenzuschläge,Sozialversicherungsanteil Arbeitgeber,Spesen
Wie ermittelt man die Umsatzsteuer für den Voranmeldungszeitraum?,Genauso wie Zahllast: Umsatzsteuer abzüglich Vorsteuer für bestimmte Zeitraum,Spesen,Urlaubsgeld,Überstundenzuschläge,Sozialversicherungsanteil Arbeitgeber,Aus dem Umsatzsteuergesetz.,Rechnungsnummer und -datum,Gegenstand und Datum der Leistung
In welchen Zeitabfolgen meldet man die Umsätze an das zuständige Finanzamt?,Je nach dem Steuerbetrag des Vorjahres sind monatlich (über 6.136 € Jahressteuerschuld) bzw. vierteljährlich (unter 6.136 € Jahressteuerschuld) Voranmeldungen nach amtlich vorgeschriebenem Vordruck abzugeben.,• Gegenstand und Datum der Leistung,Bruttobetrag,Nettobetrag für die Leistung,Gegenstand und Datum der Leistung,Name und Anschrift des Ausstellers und des Empfängers,Zu den gleichen Terminen die für die Abgabe der Voranmeldungen gelten,Umsatzsteuer
Bis zu welchem Zeitpunkt hat die Voranmeldung (Ust.-Voranmeldung) zu erfolgen?,Bis zum 10 jeden Monats für den Vormonat oder das Vorvierteljahr (10.04.- 10.07.- 10.10.- 10.01.),Umsatzsteuer,Gewerbesteuer,Kraftfahrzeugsteuer,Mineralölsteuer,Für alle Lieferungen und Leistungen die der Unternehmer im Inland gegen Entgelt erbringt.,Gewerbesteuer,Kirchensteuer
Zu welchem Zeitpunkt müssen Vorauszahlungen an das Finanzamt geleistet werden?,Zu den gleichen Terminen die für die Abgabe der Voranmeldungen gelten.,Kirchensteuer,Gewerbesteuer,Mineralölsteuer,vermögenswirksame Leistungen,Körperschaftsteuer,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung,Spesen
Muss bei grenzüberschreitender Beförderung auch Umsatzsteuer entrichtet werden?,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. Im Übrigen gilt nationales Recht,Spesen,Gewerbesteuer,Mineralölsteuer,vermögenswirksame Leistungen,Körperschaftsteuer,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung,Name und Anschrift des Ausstellers und des Empfängers
Nach welchen Entgelten wird die Umsatzsteuer berechnet?,Die Steuer wird nach vereinbarten Entgelten berechnet. Auf Antrag kann das Finanzamt zulassen dass die Steuer nach vereinnahmten Entgelten berechnet wird wenn    nicht überschritten hat oder,Gesamtumsatz des Unternehmers im Vorjahr 125.000 € (neuen Ländern - 500.000 €),Unternehmer von der Buchführungs- und Abschlusspflicht befreit ist oder,Unternehmer Umsätze aus freier Berufstätigkeit ausführt,Urlaubsgeld,Überstundenzuschläge,Spesen,haftet für Lohnsteuerabzug
Welche Aufzeichnungen muss man zur Feststellung der Steuer machen?,Der Unternehmer ist verpflichtet solche Aufzeichnungen zu machen aus denen sich die Feststellung der Steuer und die Grundlage ihrer Berechnung ergeben,haftet für Lohnsteuerabzug,Bruttobetrag,Gegenstand und Datum der Leistung,Name und Anschrift des Ausstellers,Gegenstand und Datum der Leistung,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. Im Übrigen gilt nationales Recht,Zu den gleichen Terminen
Was bezeichnet man steuertechnisch als eine Rechnung?,Jede Urkunde (z.B. Rechnungen Quittungen Abrechnungen usw.) mit der ein Unternehmer eine Abrechnung über eine Lieferung oder eine Leistung aufstellt,Zu den gleichen Terminen,Ausnahmslos der allgemeine Steuersatz 19%.,Gegenstand und Datum der Leistung,Name und Anschrift des Ausstellers,Gegenstand und Datum der Leistung,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. Im Übrigen gilt nationales Recht,Zu den gleichen Terminen
Welche Angaben müssen in einer Rechnung vorhanden sein? Welche Eintragungen gehören in eine ordnungsgemäße Rechnung wenn der Rechnungsendbetrag über 100 € liegt?,Name und Anschrift des Ausstellers und des Empfängers,Gegenstand und Datum der Leistung,Rechnungsnummer und -datum,Nettobetrag für die Leistung,Mehrwertsteuer als Satz und als Betrag,Steuernummer des Ausstellers, Bruttobetrag,Zu den gleichen Terminen
Gibt es eine Sonderregelung für Kleinbeträge? Welche Eintragungen gehören in eine ordnungsgemäße Rechnung wenn der Rechnungsendbetrag unter 100 € liegt?,Name und Anschrift des Ausstellers,Gegenstand und Datum der Leistung,Rechnungsnummer und – datum,Bruttobetrag,der Mehrwertsteuersatz,Genauso wie Zahllast: Umsatzsteuer abzüglich Vorsteuer für bestimmte Zeitraum,Ausnahmslos der allgemeine Steuersatz 19,nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert
Was versteht man unter Eigenverbrauch?,Die Entnahme von Gegenständen und sonstigen Leistungen für unternehmensfremde Zwecke (z.B. private Geschäftsfahrzeug-Nutzung).,nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert,Aus dem Umsatzsteuergesetz,Gewerbesteuer,Umsatzsteuer,Kraftfahrzeugsteuer,Mineralölsteuer,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. Im Übrigen gilt nationales Recht
Welche umsatzsteuerliche Regelung trifft den Taxi- und Mietwagenunternehmer hinsichtlich des Vorsteuerabzuges für die KfzKosten grundsätzlich wenn er sein Taxi oder seinen Mietwagen neben dem geschäftlichen Einsatz auch für private Zwecke nutzt?,Hinsichtlich der Anschaffungs- und sämtlicher Unterhaltskosten des gemischt genutzten Fahrzeuges kann er nur einen 50-prozentigen Vorsteuerabzug steuerlich geltend machen,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. Im Übrigen gilt nationales Recht,Gewerbesteuer,Kirchensteuer,Kraftfahrzeugsteuer,Mineralölsteuer,Vermögenssteuer,Grundsteuer
Welche besondere Regelung gilt wenn auf das Fahrzeug nur in geringem Umfange Privatnutzung entfällt?,Wenn das gemischt genutzte Kfz nur zu höchstens 5% privat ansonsten geschäftlich genutzt wird bleibt es bei vollem Vorsteuerabzug. Die geringfügige Privatnutzung ist durch das Führen eines Fahrtenbuches zu belegen.,Umsatzsteuer,Einkommensteuer und die Kirchensteuer,Körperschaftsteuer,Gewerbesteuer,Kraftfahrzeugsteuer,Mineralölsteuer,nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert
Wer ist einkommensteuerpflichtig?,alle natürlichen Personen unterliegen der Einkommensteuer,Für alle Lieferungen und Leistungen die der Unternehmer im Inland gegen Entgelt erbringt,Auf die Richtigkeit des Geldverkehrs,Einnahmen und Ausgaben sind täglich lückenlos und fortlaufend im Kassenbuch aufzuzeichnen.,Umsatzsteuer,Körperschaftsteuer,Einkommensteuer einschließlich Lohnsteuer,nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert
Wer ist Lohnsteuerpflichtig?,Arbeitnehmer (AN)ist lohnsteuerpflichtig. Lohnstreuer wird auf die Einkünfte aus nichtselbständiger Tätigkeit durch Abzug vom Arbeitslohn erhoben. Arbeitgeber (AG) haftet für Lohnsteuerabzug.,Die Vorsteuer ist der Umsatzsteuerbetrag der auf der Eingangsrechnung ausgewiesen ist.,Genauso wie Zahllast: Umsatzsteuer abzüglich Vorsteuer für bestimmte Zeitraum,Zu den gleichen Terminen die für die Abgabe der Voranmeldungen gelten,Gewerbesteuer,Vermögenssteuer,Mineralölsteuer,Kirchensteuer
Nennen Sie 6 Lohnnebenkosten!,Sozialversicherungsanteil Arbeitgeber,Überstundenzuschläge,Weihnachtsgeld,Urlaubsgeld,vermögenswirksame Leistungen,Spesen,Mineralölsteuer,Grundsteuer
Wer ist körperschaftsteuerpflichtig?,Die Körperschaftsteuer ist die Einkommensteuer der Kapitalgesellschaften (AG GmbH) Genossenschaften Versicherungsvereine auf Gegenseitigkeit und sonstige juristische Personen des Privatrechts und V,Grundsteuer,Weihnachtsgeld,Urlaubsgeld,vermögenswirksame Leistungen,Spesen,,Grundsteuer
Wie hoch ist derzeit der Einkommensteuersatz?,Der Einkommensteuersatz steigt mit zunehmendem zu versteuerndem Einkommen von 19 % auf 45 %,Auf die Richtigkeit des Geldverkehrs,Einnahmen und Ausgaben sind täglich lückenlos und fortlaufend im Kassenbuch aufzuzeichnen,Umsatzsteuer,Umsatzsteuer ist kosten- und wettbewerbsneutral und wirtschaftlich eine Verbrauchsteuer die vom privaten Endverbraucher bezahlt wird,Aus dem Umsatzsteuergesetz.,Die Steuerschuld ist der Betrag der sich aus dem anzuwendenden Steuersatz ergibt.,
Wie hoch ist derzeit der Körperschaftsteuersatz?,25 % des zu versteuernden Einkommens,nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert.,Umsatzsteuer,Umsatzsteuer ist kosten- und wettbewerbsneutral und wirtschaftlich eine Verbrauchsteuer die vom privaten Endverbraucher bezahlt wird,Aus dem Umsatzsteuergesetz.,Die Steuerschuld ist der Betrag der sich aus dem anzuwendenden Steuersatz ergibt.,nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert.,nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert.
Was ist der Solidaritätszuschlag?,Der Solidaritätszuschlag ist eine Zuschlagsteuer zur Einkommen- und Körperschaftsteuer. Er dient den Mehrausgaben des Staates im Zusammenhang mit der Deutschen Einheit und beträgt z. Z. jährlich 5.5 % der Einkommenbzw. Körperschaftsteuer,Nettobetrag für die Leistung,Mehrwertsteuer als Satz und als Betrag,Bruttobetrag,Steuernummer des Ausstellers,Rechnungsnummer und – datum,Name und Anschrift des Ausstellers,Unternehmer Umsätze aus freier Berufstätigkeit ausführt
An wen hat der TuM-Unternehmer die Gewerbesteuer zu entrichten?,Die Gewerbesteuer (Gemeindesteuer) ist an der Gemeinde der Betriebsstätte zu entrichten.,Unternehmer Umsätze aus freier Berufstätigkeit ausführt,Überstundenzuschläge,Urlaubsgeld,Umsatzsteuer,vermögenswirksame Leistungen,25 % des zu versteuernden Einkommens.,lle natürlichen Personen unterliegen der Einkommensteuer
Was gilt in Bezug auf die Gewinnermittlung wenn keine Buchführungspflicht besteht?,Der Gewinn kann durch die sog. Überschussrechnung (Gewinn = Überschuss der Betriebseinnahmen über die Betriebsausgaben) ermittelt werden,Gegenstand und Datum der Leistung,Nettobetrag für die Leistung,Unternehmer von der Buchführungs- und Abschlusspflicht befreit ist od,Unternehmer Umsätze aus freier Berufstätigkeit ausführt.,Zu den gleichen Terminen die für die Abgabe der Voranmeldungen gelten.,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. Im Übrigen gilt nationales Recht,Ausnahmslos der allgemeine Steuersatz 19%
Wie gehen die Kosten der Anschaffung oder Herstellung abnutzbarer Anlagegüter in die Gewinnermittlungrechnung ein?,Die Anschaffungs- oder Herstellungskosten für abnutzbare Anlagegüter die dem Betrieb mehr als 1 Jahr dienen gehen in Form der AfA (Absetzung für Abnutzung) in die Gewinnermittlungsrechnung ein.,Ausnahmslos der allgemeine Steuersatz 19%,Aus dem Umsatzsteuergesetz.,Nein nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert.,Die Vorsteuer ist der Umsatzsteuerbetrag der auf der Eingangsrechnung ausgewiesen ist.,Gewerbesteuer,Umsatzsteuer,Mineralölsteuer
Wie nennt man diese Art der Absetzung?,Die lineare AfA. Sie stellt die gebräuchlichste Absetzungsmethode dar,Mineralölsteuer,Aus dem Umsatzsteuergesetz.,Nein nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert.,Die Vorsteuer ist der Umsatzsteuerbetrag der auf der Eingangsrechnung ausgewiesen ist.,Gewerbesteuer,Umsatzsteuer,Spesen
Wie kann man mit geringwertigen Anlagegütern verfahren?,Sie können sofort im Jahr der Anschaffung voll abgesetzt werden wenn,die Anschaffungskosten 150 € nicht übersteigen und,die Anlagegüter selbständig nutzbar sind,Einnahmen und Ausgaben sind täglich lückenlos und fortlaufend im Kassenbuch aufzuzeichnen,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung.,Unterkonto des Kapitalkontos das die private Entnahmen und Einlagen widerspiegelt.,Umsatzsteuer,Körperschaftsteuer
Zählt die Vorsteuer die bei der Anschaffung anfällt zu den Anschaffungskosten?,Nein weil die Vorsteuer verrechnet wird.,Körperschaftsteuer,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung.,Es werden die Gesamteinnahmen und die Gesamtausgaben festgestellt und beide Seiten durch Einfügen des Unterschiedsbetrages ausgeglichen.,Auf die Richtigkeit des Geldverkehrs,Umsatzsteuer,Körperschaftsteuer,Steuernummer des Ausstellers
Muss im Falle der Fahrtenbuchaufzeichnung jede einzelne Taxifahrt dokumentiert werden?, Nein bei Fahrten im Pflichtfahrgebiet genügt tägliche Angabe des Km-Standes.,wenn eine Fahrt über das Pflichtfahrgebiet hinausgeht ist,Ziel Reiseroute Datum und Km-Stand zu Beginn und am Ende jeder einzelnen Auswärtstätigkeit und Reisezweck und aufgesuchter Geschäftspartner anzugeben,• Privatfahrten sind in jedem Fall zu erfassen hierbei genügen die Kilometerangaben,Umsatzsteuer,Einkommensteuer einschließlich Lohnsteuer,Körperschaftsteuer,Gewerbesteuer
Kann auch ein M-Unternehmer das sog. vereinfachte Fahrtenbuch führen?,Ja sofern die Auftragsstruktur des Betriebes der eines Taxiunternehmens ähnelt,Gewerbesteuer,Ziel Reiseroute Datum und Km-Stand zu Beginn und am Ende jeder einzelnen Auswärtstätigkeit und Reisezweck und aufgesuchter Geschäftspartner anzugeben,,,,,
Was ist ein Handelsregister?,Ein Register der beim zuständigen Amtsgericht ist in den entweder freiwillig Kaufmann sich eintragen lässt oder als KG oHG GmbH usw. von Amts wegen eintragen wird,Nein nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert.,die Anlagegüter selbständig nutzbar sind,Kirchensteuer,Kraftfahrzeugsteuer,Körperschaftsteuer,Gewerbesteuer,Mineralölsteuer
Wer führt Handelsregister?,Gerichtshof,Mineralölsteuer,Gewerbesteuer,Körperschaftsteuer,Einkommensteuer und die Kirchensteuer,Mineralölsteuer,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung,Ausnahmslos der allgemeine Steuersatz 19%.
Welche Besonderheiten gelten für das Firmenrecht?,dass er einen geeigneten Firmennamen wählt,die Bezeichnung als Zusatz führen,dass die Angaben zur Firma auf den,Geschäftsbriefen enthalten sein müssen,dass Bücher nach den Grundsätzen ordnungsgemäßer Buchführung zu führen,Gewerbesteuer,Vermögenssteuer,Vermögenssteuer
Worin unterscheidet sich die Einzelhandelsfirma von einer GmbH?,Bei der Einzelhandelfirma betreibt der Einzelunternehmer sein Geschäft allein. Er allein haftet alle Schulden der Firma und zwar auch mit seinem Privatvermögen,Beim GmbH betreibt der Geschäftsführer das Geschäft nicht allein. Die Haftung der Geschäftsführer beschränkt sich auf die erbrachte Einlage,Vermögenssteuer,dass die Angaben zur Firma auf den,Kirchensteuer,Kraftfahrzeugsteuer,Auf die Richtigkeit des Geldverkehrs,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. Im Übrigen gilt nationales Recht
Wie wird bei einem quittierten Fahrpreis der Mehrwertsteueranteil ersichtlich?,Im Bruttobetrag enthaltene Steuerprozentsatz muss genannt werden,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. Im Übrigen gilt nationales Recht,Gewerbesteuer,Gewerbesteuer,Umsatzsteuer,Mineralölsteuer,Für alle Lieferungen und Leistungen die der Unternehmer im Inland gegen Entgelt erbringt,Auf die Richtigkeit des Geldverkehrs.
Welche Zahlungsweise ist nach der TuM-Beförderung üblich?,Die Zahlung muss in bar erfolgen,Auf die Richtigkeit des Geldverkehrs.,Bruttobetrag,• der Mehrwertsteuersatz,• Name und Anschrift des Ausstellers,Rechnungsnummer und -datum,Gegenstand und Datum der Leistung,Alle natürlichen Personen unterliegen der Einkommensteuer
Nennen Sie mindestens 3 bargeldlose Zahlungsweisen (beide Seiten haben ein Konto)?,Bank- oder Postüberweisung,Verrechnungsscheck,Dauerabbuchungs- oder Einzugsermächtigungsverfahren,Alle natürlichen Personen unterliegen der Einkommensteuer,haftet für Lohnsteuerabzug,Unternehmer Umsätze aus freier Berufstätigkeit ausführt,Unternehmer von der Buchführungs- und Abschlusspflicht befreit ist oder,Körperschaftsteuer
Welches Kapital bildet die finanzielle Grundlage unternehmerischer Tätigkeit?,Das Gesamtkapital (Eigen- und Fremdkapital),Körperschaftsteuer,Dauerabbuchungs- oder Einzugsermächtigungsverfahren,Alle natürlichen Personen unterliegen der Einkommensteuer,haftet für Lohnsteuerabzug,Kraftfahrzeugsteuer,die Anlagegüter selbständig nutzbar sind,Vermögenssteuer
Was bedeutet Leasing?,Form mittelfristiges Kredites führt nur zur Miete eines Autos. Statt Raten und Zinsen wird Miete bezahlt.,Aus dem Umsatzsteuergesetz.,Die Steuerschuld ist der Betrag der sich aus dem anzuwendenden Steuersatz ergibt,Kraftfahrzeugsteuer,Vermögenssteuer,Kraftfahrzeugsteuer,Einkommensteuer und die Kirchensteuer,nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert
Was versteht man unter dem Begriff Rentabilität?,Die Rentabilität ist das Verhältnis zwischen dem erzielten Gewinn und dem eingesetzten Kapital,nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert,Die Steuerschuld ist der Betrag der sich aus dem anzuwendenden Steuersatz ergibt,Umsatzsteuer,Einkommensteuer einschließlich Lohnsteuer,Körperschaftsteuer,Auf die Richtigkeit des Geldverkehrs.,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung