Was heißt eigentlich „BOKraft“?,Handelsgesetz,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr.,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Wodurch kommt eine rechtliche Beziehung (Vertrag) zwischen dem Taxiunternehmer und dem Fahrgast zustande?,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein., bei Leerfahrten besteht die Gurtpflicht.,Ja. jeder Unternehmer ist verpflichtet. den Betrieb ordnungsgemäß einzurichten und während der Dauer der Genehmigung nach dem Stand der Technik und den Bedürfnissen des Verkehrsordnungsgemäß aufrechtzuerhalten. Verstöße gegen die Betriebspflicht stellen einen Widerrufsgrund dar,Durch Abschluss eines Beförderungsvertrages. Das Angebot geht vom Fahrgast aus (Der Fahrgast bestellt ein Taxi). Durch Annahme des Angebotes durch den Unternehmer oder seiner Erfüllungsgehilfen (Fahrer) ist der Beförderungsvertrag abgeschlossen. Vertragsparteien sind der Fahrgast und der Taxiunternehmer.,bei Besetztfahrten nicht.,gewünschte Nachrichtenaustausch darf nicht mit Hilfe d. vorhandenen öffentlichen Fernmeldenetze möglich sein.,Die Genehmigungsbehörde kann dem Unternehmer für die Aufnahme des Betriebes eine Frist setzen. Nach erfolglosem Fristablauf erlischt die Genehmigung.,Taxi- und Mietwagenfahrer bei Leerfahrten.,
Welche Vertragspflichten haben der Unternehmer und der Fahrgast?,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein.,Welche Vertragspflichten haben der Unternehmer und der Fahrgast?, bei Leerfahrten besteht die Gurtpflicht.,er hat für die Unversehrtheit des Fahrgastes zu sorgen,bei Besetztfahrten nicht.,Die Fahrgäste haben sich so zu verhalten. dass die Sicherheit und Ordnung des Betriebes und die Rücksicht auf andere Personen gebieten,Anweisungen des Betriebspersonals ist zu folgen und,der Beförderungspreis muss entrichtet werden.,
Ist jeder Taxiunternehmer verpflichtet. mit dem Interes senten einen Vertrag abzuschließen und ihn zu befördern?,Er ist verpflichtet. alle Interessenten innerhalb des Pflichtfahrbereiches zu befördern. wenn die Beförderungsbedingungen eingehalten werden,Welche Vertragspflichten haben der Unternehmer und der Fahrgast?,Er hat insoweit „Beförderungspflicht“.,er hat für die Unversehrtheit des Fahrgastes zu sorgen,bei Besetztfahrten nicht.,Die Fahrgäste haben sich so zu verhalten. dass die Sicherheit und Ordnung des Betriebes und die Rücksicht auf andere Personen gebieten,Anweisungen des Betriebspersonals ist zu folgen und,der Beförderungspreis muss entrichtet werden.,
Was geschieht. wenn der Unternehmer seinen Betriebssitz in eine andere Gemeinde verlegt?,x) Den Arbeitgeber,Unternehmer muss den Unfall binnen 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen anzeigen. • Unternehmer muss eine Kopie dieser Unfallanzeige dem Amt für Arbeitsschutz übersenden,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,Jeder Arbeitsunfall muss innerhalb von 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen (BGF) gemeldet werden.,Die zuständige Berufsgenossenschaft.,x) Arbeitgeber.,Gewerbeaufsichtsamt,
Wie erfolgt die Fahrgastaufnahme an Taxistandplätzen?,x) Den Arbeitgeber,Unternehmer muss den Unfall binnen 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen anzeigen. • Unternehmer muss eine Kopie dieser Unfallanzeige dem Amt für Arbeitsschutz übersenden,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,Jeder Arbeitsunfall muss innerhalb von 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen (BGF) gemeldet werden.,Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,x) Arbeitgeber.,Gewerbeaufsichtsamt,
"Darf ein Taxi an einem Taxistand abgestellt werden, auch wenn keine Betriebsbereitschaft besteht?",x) Den Arbeitgeber,Unternehmer muss den Unfall binnen 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen anzeigen. • Unternehmer muss eine Kopie dieser Unfallanzeige dem Amt für Arbeitsschutz übersenden,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,"Nein, Taxen dürfen nur dann am Taxenstand stehen, wenn sie betriebsbereit sind.",Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,x) Arbeitgeber.,Gewerbeaufsichtsamt,
Unter welchen Voraussetzungen dürfen andere Verkehrsteilnehmer auf einem Taxenstand halten?,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Unternehmer muss den Unfall binnen 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen anzeigen. • Unternehmer muss eine Kopie dieser Unfallanzeige dem Amt für Arbeitsschutz übersenden,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,"Nein, Taxen dürfen nur dann am Taxenstand stehen, wenn sie betriebsbereit sind.",Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,x) Arbeitgeber.,Gewerbeaufsichtsamt,
Wer bestimmt im Taxenverkehr die Höhe des zu entrichtenden Beförderungsentgelts?,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Die Landesregierung oder die eingesetzte Genehmigungsbehörde bestimmt durch Rechtsverordnung die Höhe des Beförderungsentgeltes,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,"Nein, Taxen dürfen nur dann am Taxenstand stehen, wenn sie betriebsbereit sind.",Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,x) Arbeitgeber.,Gewerbeaufsichtsamt,
Darf der einzelne Taxiunternehmer von den festgesetzten Entgelten abweichen?,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Die Landesregierung oder die eingesetzte Genehmigungsbehörde bestimmt durch Rechtsverordnung die Höhe des Beförderungsentgeltes,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,"Nein, Taxen dürfen nur dann am Taxenstand stehen, wenn sie betriebsbereit sind.",Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,Darf der einzelne Taxiunternehmer von den festgesetzten Entgelten abweichen?,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,
außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Die Landesregierung oder die eingesetzte Genehmigungsbehörde bestimmt durch Rechtsverordnung die Höhe des Beförderungsentgeltes,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,"Nein, Taxen dürfen nur dann am Taxenstand stehen, wenn sie betriebsbereit sind.",Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,Darf der einzelne Taxiunternehmer von den festgesetzten Entgelten abweichen?,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,
Was kann die Tarifverordnung im Einzelnen regeln?,Grundpreise. Kilometerpreise. Zeitpreise und Zuschläge.,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Vorauszahlungen.,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,die Abrechnung.,Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,die Zahlungsweise und,Sondervereinbarungen für den Pflichtfahrbereich.,
Unter welchen Bedingungen sind Sondervereinbarungen für den Pflichtfahrbereich zulässig?,Grundpreise. Kilometerpreise. Zeitpreise und Zuschläge.,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Sondervereinbarungen für den Pflichtfahrbereich.,
Ist ein Taxiunternehmer verpflichtet. die Vorschriften über die Beförderungsentgelte und bedingungen mitzuführen?,Grundpreise. Kilometerpreise. Zeitpreise und Zuschläge.,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Ist ein Taxiunternehmer verpflichtet. die Vorschriften über die Beförderungsentgelte und bedingungen mitzuführen?,
Ist ein Taxiunternehmer verpflichtet. die Vorschriften über die Beförderungsentgelte und bedingungen mitzuführen?,Grundpreise. Kilometerpreise. Zeitpreise und Zuschläge.,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Nein. jeder Taxifahrer ist verpflichtet. die in einer Tarif ordnung festgesetzte Anfahrberechnung auch zu kassieren.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Ist ein Taxiunternehmer verpflichtet. die Vorschriften über die Beförderungsentgelte und bedingungen mitzuführen?,
Wie muss dem Fahrgast jederzeit das zu zahlende Entgelt kenntlich gemacht werden?,Grundpreise. Kilometerpreise. Zeitpreise und Zuschläge.,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Nein. jeder Taxifahrer ist verpflichtet. die in einer Tarif ordnung festgesetzte Anfahrberechnung auch zu kassieren.,Der Fahrpreis muss durch einen beleuchtbaren Fahrpreisanzeiger (Taxameter) für den Fahrgast zu erkennen sein,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Ist ein Taxiunternehmer verpflichtet. die Vorschriften über die Beförderungsentgelte und bedingungen mitzuführen?,
Was muss der Fahrpreisanzeiger anzeigen?,Grundpreise. Kilometerpreise. Zeitpreise und Zuschläge.,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Nein. jeder Taxifahrer ist verpflichtet. die in einer Tarif ordnung festgesetzte Anfahrberechnung auch zu kassieren.,Der Fahrpreis muss durch einen beleuchtbaren Fahrpreisanzeiger (Taxameter) für den Fahrgast zu erkennen sein,Das Beförderungsentgelt. getrennt nach Fahrpreis und Zuschlägen. und anzuwendende Tarifstufe.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Ist ein Taxiunternehmer verpflichtet. die Vorschriften über die Beförderungsentgelte und bedingungen mitzuführen?,
Das Beförderungsentgelt. getrennt nach Fahrpreis und Zuschlägen. und anzuwendende Tarifstufe.,Grundpreise. Kilometerpreise. Zeitpreise und Zuschläge.,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Nein. jeder Taxifahrer ist verpflichtet. die in einer Tarif ordnung festgesetzte Anfahrberechnung auch zu kassieren.,Der Fahrpreis muss durch einen beleuchtbaren Fahrpreisanzeiger (Taxameter) für den Fahrgast zu erkennen sein,Das Beförderungsentgelt. getrennt nach Fahrpreis und Zuschlägen. und anzuwendende Tarifstufe.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Nein. dies ist gesetzlich verboten,
Wie verhält man sich beim Versagen des Fahrpreisanzeigers?,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und behoben werden. ,Nein. jeder Taxifahrer ist verpflichtet. die in einer Tarif ordnung festgesetzte Anfahrberechnung auch zu kassieren.,Der Fahrpreis muss durch einen beleuchtbaren Fahrpreisanzeiger (Taxameter) für den Fahrgast zu erkennen sein,Das Beförderungsentgelt. getrennt nach Fahrpreis und Zuschlägen. und anzuwendende Tarifstufe.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,
Wie verhält man sich bei Fahr- ten. deren Ziel außerhalb des Geltungsbereiches der festgesetzten Beförderungsentgelte,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und behoben werden. ,Der Taxifahrer muss den Fahrgast vor Fahrtbeginn hinweisen. dass das Beförderungsentgelt für die gesamte Fahrstrecke frei zu vereinbaren ist. weil der Pflichtfahrbereich verlassen wird.,Der Fahrpreis muss durch einen beleuchtbaren Fahrpreisanzeiger (Taxameter) für den Fahrgast zu erkennen sein,Das Beförderungsentgelt. getrennt nach Fahrpreis und Zuschlägen. und anzuwendende Tarifstufe.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,
Darf ein Taxifahrer Radio hören?,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und behoben werden. ,Der Taxifahrer muss den Fahrgast vor Fahrtbeginn hinweisen. dass das Beförderungsentgelt für die gesamte Fahrstrecke frei zu vereinbaren ist. weil der Pflichtfahrbereich verlassen wird.,Der Fahrpreis muss durch einen beleuchtbaren Fahrpreisanzeiger (Taxameter) für den Fahrgast zu erkennen sein,Ja. Tonrundfunkempfänger und -wiedergabegeräte dürfen während der Beförderung von Fahrgästen benutzt werden,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,
Darf sich ein Taxifahrer mit den Fahrgästen unterhalten?,Ja. das Unterhaltungsverbot gilt nicht mehr für Taxen und Mietwagen.,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und behoben werden. ,Der Taxifahrer muss den Fahrgast vor Fahrtbeginn hinweisen. dass das Beförderungsentgelt für die gesamte Fahrstrecke frei zu vereinbaren ist. weil der Pflichtfahrbereich verlassen wird.,Der Fahrpreis muss durch einen beleuchtbaren Fahrpreisanzeiger (Taxameter) für den Fahrgast zu erkennen sein,Ja. Tonrundfunkempfänger und -wiedergabegeräte dürfen während der Beförderung von Fahrgästen benutzt werden,
Darf man ein Taxi an Selbstfahrer vermieten?,Ja. das Unterhaltungsverbot gilt nicht mehr für Taxen und Mietwagen.,Die Vermietung von Taxis an Selbstfahrer ist verboten.,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und behoben werden. ,Der Taxifahrer muss den Fahrgast vor Fahrtbeginn hinweisen. dass das Beförderungsentgelt für die gesamte Fahrstrecke frei zu vereinbaren ist. weil der Pflichtfahrbereich verlassen wird.,Der Fahrpreis muss durch einen beleuchtbaren Fahrpreisanzeiger (Taxameter) für den Fahrgast zu erkennen sein,
Welchen Untersuchungen sind TuM zu unterziehen?,Ja. das Unterhaltungsverbot gilt nicht mehr für Taxen und Mietwagen.,Die Vermietung von Taxis an Selbstfahrer ist verboten.,Hauptuntersuchung HU.,Abgasuntersuchung AU,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und behoben werden. ,
Wer ist verantwortlich für den ordnungsgemäßen Betrieb d.Kfz?,Ja. das Unterhaltungsverbot gilt nicht mehr für Taxen und Mietwagen.,Halter und Fahrzeugführer.,Hauptuntersuchung HU.,Abgasuntersuchung AU,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und behoben werden. ,
Was muss sich d. Taxi- und Mietwagenunternehmer vom Fahrer vorlegen lassen?,Ja. das Unterhaltungsverbot gilt nicht mehr für Taxen und Mietwagen.,Halter und Fahrzeugführer.,Hauptuntersuchung HU.,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und behoben werden. ,
Wer ist verantwortlich. dass die Rechtsvorschriften über den Betrieb eingehalten werden?,Ja. das Unterhaltungsverbot gilt nicht mehr für Taxen und Mietwagen.,Halter und Fahrzeugführer.,Hauptuntersuchung HU.,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,Der Unternehmer,
Was hat der Unternehmer beim Einsatz des Fahr- und Betriebspersonals zu beachten?,Ja. das Unterhaltungsverbot gilt nicht mehr für Taxen und Mietwagen.,Halter und Fahrzeugführer.,Hauptuntersuchung HU.,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,Der Fahrer muss alle notwendigen Dokumente haben.,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,
Was gilt hinsichtlich der Kennzeichnung von Mietwagen?,Ja. das Unterhaltungsverbot gilt nicht mehr für Taxen und Mietwagen.,Halter und Fahrzeugführer.,Hauptuntersuchung HU.,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,Mietwagen dürfen nicht mit für Taxis vorbehaltenen Zeichen und die Merkmalen kenntlich gemacht werden,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,Der Fahrer muss alle notwendigen Dokumente haben.,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,
Warum darf die dem Taxi vorbehaltene Kennzeichnung nicht an Mietwagen verwendet werden?,Halter und Fahrzeugführer.,Hauptuntersuchung HU.,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,Damit es keine Verwechslung mit den Taxi gibt.,Mietwagen dürfen nicht mit für Taxis vorbehaltenen Zeichen und die Merkmalen kenntlich gemacht werden,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,Der Fahrer muss alle notwendigen Dokumente haben.,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,
Wann ist der Einsatz von Funkgeräten oder Autotelefonen auch im Mietwagenverkehr zulässig?,Hauptuntersuchung HU.,Rückkehrpflicht.,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,Damit es keine Verwechslung mit den Taxi gibt.,Bereithalteverbot für mietwagenunternehmer,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,Der Fahrer muss alle notwendigen Dokumente haben.,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,
Dürfen auf dem Rücksitz 4 Personen befördert werden. obwohl dort max. 3 Gurte vorhanden sind?,Hauptuntersuchung HU.,Rückkehrpflicht.,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,Nein. Fahrgäste müssen Sicherheitsgurte anlegen. soweit sie vorhandeln sind.,Damit es keine Verwechslung mit den Taxi gibt.,Bereithalteverbot für mietwagenunternehmer,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,Der Fahrer muss alle notwendigen Dokumente haben.,
Wo können Einzelheiten über die Betriebspflicht und den Dienstbetrieb des Taxiunternehmers geregelt sein?,In der Taxiordnung.,Hauptuntersuchung HU.,Rückkehrpflicht.,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,Nein. Fahrgäste müssen Sicherheitsgurte anlegen. soweit sie vorhandeln sind.,Damit es keine Verwechslung mit den Taxi gibt.,Bereithalteverbot für mietwagenunternehmer,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,
Was gilt für das Bereithalten von Mietwagen?,In der Taxiordnung.,Hauptuntersuchung HU.,Rückkehrpflicht.,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,Bereithalten von Mietwagen. das zur Verwechslung mit dem Taxiverkehr führen kann. ist verboten.,Damit es keine Verwechslung mit den Taxi gibt.,Bereithalteverbot für mietwagenunternehmer,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,
Bereithalten von Mietwagen. das zur Verwechslung mit dem Taxiverkehr führen kann. ist verboten.,Hauptuntersuchung HU.,Rückkehrpflicht.,Absprachen über Dienstbereitschaften in den Nachtstunden getroffen werden oder,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,Bereithalten von Mietwagen. das zur Verwechslung mit dem Taxiverkehr führen kann. ist verboten.,Damit es keine Verwechslung mit den Taxi gibt.,Bedienung eines Standplatzes nach einem für alle gültigen Einsatzplan erfolgt.,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,