Welche allgemeinen Umweltschutzregeln sind bei der Benutzung von Fahrzeugen zu beachten?,unnötige Lärmbelästigung vermeiden,unnutzes Hin- und Herfahren unterlassen um andere nicht zu belästigen,Ölabscheider für die Kanalisation,Motor nicht unnötig laufen lassen,Türen leise schließen,x) Zündung,Entsorgungsmöglichkeiten für Waschwasser  Putzmittel  • Spraydosen  Altöl.,Abgasbelästigungen vermeiden,
Welche besonderen Einrichtungen müssen auf Ihrem Betriebshof vorhanden sein  wenn Sie Ihr Kfz selbst reinigen und warten wollen?,unnötige Lärmbelästigung vermeiden,unnutzes Hin- und Herfahren unterlassen um andere nicht zu belästigen,Ölabscheider für die Kanalisation,Motor nicht unnötig laufen lassen,Türen leise schließen,x) Zündung,Entsorgungsmöglichkeiten für Waschwasser  Putzmittel  • Spraydosen  Altöl.,Abgasbelästigungen vermeiden,
Was muss am Motor regelmäßig gewartet werden  um unnötig hohem Kraftstoffverbrauch und Schadstoffausstoß vorbeugen?,x) Luftfilter,unnutzes Hin- und Herfahren unterlassen um andere nicht zu belästigen,Ölabscheider für die Kanalisation,Motor nicht unnötig laufen lassen,Türen leise schließen,x) Zündung,Entsorgungsmöglichkeiten für Waschwasser  Putzmittel  • Spraydosen  Altöl.,x) Vergaser oder Einspritzanlage,
Nennen Sie 4 Beispiele für vorsichtiges und rücksichtsvolles Verhalten im Straßenverkehr,x) Luftfilter,Vorausschauendes Fahren,Ölabscheider für die Kanalisation,Motor nicht unnötig laufen lassen,mit dem Fehlverhalten anderer rechnen  Kinder  ältere  Personen und Behinderte verhalten sich oft anders als man denkt ,x) Zündung,Entsorgungsmöglichkeiten für Waschwasser  Putzmittel  • Spraydosen  Altöl.,x) Vergaser oder Einspritzanlage,
Nennen Sie 4 Maßnahmen  mit denen der Unternehmer bzw. der Fahrer zur Verkehrssicherheit beitragen können.,Vorausschauendes Fahren  Umsicht  Anpassung an die  jeweilige Verkehrssituation,Vorausschauendes Fahren,nur verkehrssichere Fahrzeuge einsetzen ,Fahrzeuge mit ABS ausstatten,keine Überladung,an Schulen  Kindergärten und Altenheimen besonders • aufmerksam fahren,Geschwindigkeitsbegrenzungen einhalten.,Fliehkräfte.,
Welche auf das jeweilige Kfz wirkenden Kräfte müssen durch die Fahrweise berücksichtigt werden?,Vorausschauendes Fahren  Umsicht  Anpassung an die  jeweilige Verkehrssituation,Bremskräfte ,Beschleunigungskräfte ,Reibungskräfte ,Gefällkräfte ,an Schulen  Kindergärten und Altenheimen besonders • aufmerksam fahren,Geschwindigkeitsbegrenzungen einhalten.,Fliehkräfte.,
Was haben Sie zu veranlassen  wenn durch Ihr Fahrzeug die Fahr- bahn mit Öl verunreinigt wurde?,andere Verkehrsteilnehmer warnen ,Ölverbrauch prüfen  bei Ölverlust Ursache sofort  beseitigen lassen ,es werden die Reparaturkosten verringert,Schadstoffausstoß kontrollieren ,das Fahrzeug und seine Teile nutzen nicht so schnell ab,Stelle absichern,Feuerwehr benachrichtigen,selber für die Beseitigung sorgen,
Nennen Sie 4 Maßnahmen der Fahrzeugwartung  die dem Umweltschutz dienen,andere Verkehrsteilnehmer warnen ,Ölverbrauch prüfen  bei Ölverlust Ursache sofort  beseitigen lassen ,es werden die Reparaturkosten verringert,Schadstoffausstoß kontrollieren ,das Fahrzeug und seine Teile nutzen nicht so schnell ab,Reifendruck prüfen ,Luftfilter reinigen bzw. wechseln.,aufpassen  dass kein Öl in die Kanalisation gelangt  (Ölabscheider).,
Ihre Fahrzeuge werden regelmäßig gewartet. Welche Vorteile haben Sie dadurch?,andere Verkehrsteilnehmer warnen ,größerer Taxi- oder Mietwagenbetrieb möglichst ansiedeln? Im Gewerbegebiet ansiedeln  weil hier die Lärmgrenz werte sehr hoch sind und es vor allem wegen der Nachtruhe keine Probleme mit Anwohnern gibt,es werden die Reparaturkosten verringert,Schadstoffausstoß kontrollieren ,das Fahrzeug und seine Teile nutzen nicht so schnell ab,Reifendruck prüfen ,Ölfilter entsorgen;,aufpassen  dass kein Öl in die Kanalisation gelangt  (Ölabscheider).,
Was sollten Sie beachten  wenn Sie einen Ölwechsel vornehmen?,Beim Ölwechsel muss man das Altöl auffangen und von einer entsprechenden Firma abholen lassen  oder man bringt es einfach zur nächsten Tankstelle oder Werkstatt,größerer Taxi- oder Mietwagenbetrieb möglichst ansiedeln? Im Gewerbegebiet ansiedeln  weil hier die Lärmgrenz werte sehr hoch sind und es vor allem wegen der Nachtruhe keine Probleme mit Anwohnern gibt,die Lärmhöchstwerte,Schadstoffausstoß kontrollieren ,den Schwefelgehalt von Diesel und Heizöl,Reifendruck prüfen ,Ölfilter entsorgen;,aufpassen  dass kein Öl in die Kanalisation gelangt  (Ölabscheider).,
In welcher Gebietsart sollte sich ein größerer Taxi- oder Mietwagenbetrieb möglichst ansiedeln?,Beim Ölwechsel muss man das Altöl auffangen und von einer entsprechenden Firma abholen lassen  oder man bringt es einfach zur nächsten Tankstelle oder Werkstatt,größerer Taxi- oder Mietwagenbetrieb möglichst ansiedeln? Im Gewerbegebiet ansiedeln  weil hier die Lärmgrenz werte sehr hoch sind und es vor allem wegen der Nachtruhe keine Probleme mit Anwohnern gibt,die Lärmhöchstwerte,Schadstoffausstoß kontrollieren ,den Schwefelgehalt von Diesel und Heizöl,Reifendruck prüfen ,Immissionen sind die auf Menschen  Tiere und Pflanzen  Boden  Wasser  Atmosphäre sowie Kultur und sonstige Sachgüter einwirkenden Luftverunreinigungen  Geräusche  Erschütterungen  Licht  Wärmestrahlen und ähnliche Umwelteinwirkungen.,Wenn man eigenen Pkw-Waschplatz benutzt  muss ein  Ölabscheider vorhanden sein  der verhindert  dass Öle in die Kanalisation kommen.,
Wie oft müssen Taxi- und Mietwagen zur Abgasuntersuchung?,Beim Ölwechsel muss man das Altöl auffangen und von einer entsprechenden Firma abholen lassen  oder man bringt es einfach zur nächsten Tankstelle oder Werkstatt,Emissionen sind die von Anlagen (Betriebsstätten  Maschinen  Fahrzeuge und Grundstücke) ausgehenden Luftverunreinigungen  Geräusche  Erschütterung  Licht  Wärme  Strahlen und ähnliche Erscheinungen,die Lärmhöchstwerte,Eine jährliche Untersuchungsfrist.,den Schwefelgehalt von Diesel und Heizöl,Reifendruck prüfen ,Immissionen sind die auf Menschen  Tiere und Pflanzen  Boden  Wasser  Atmosphäre sowie Kultur und sonstige Sachgüter einwirkenden Luftverunreinigungen  Geräusche  Erschütterungen  Licht  Wärmestrahlen und ähnliche Umwelteinwirkungen.,Wenn man eigenen Pkw-Waschplatz benutzt  muss ein  Ölabscheider vorhanden sein  der verhindert  dass Öle in die Kanalisation kommen.,
Was sagt das Immissions- schutzrecht aus? Welche 2 wichtigen Belästigungsmöglichkelten versucht das Immissionsgesetz einzuschränken,Dieses Gesetz wurde zum Schutz für Menschen  Tiere  Pflanzen und Umwelt vor schädlichen Umwelteinwirkun- gen und Gefahren durch geräuschvolle und luftverunreini- gende Anlagen gemacht. Es regelt u.a.,Emissionen sind die von Anlagen (Betriebsstätten  Maschinen  Fahrzeuge und Grundstücke) ausgehenden Luftverunreinigungen  Geräusche  Erschütterung  Licht  Wärme  Strahlen und ähnliche Erscheinungen,die Lärmhöchstwerte,Eine jährliche Untersuchungsfrist.,den Schwefelgehalt von Diesel und Heizöl,Reifendruck prüfen ,Immissionen sind die auf Menschen  Tiere und Pflanzen  Boden  Wasser  Atmosphäre sowie Kultur und sonstige Sachgüter einwirkenden Luftverunreinigungen  Geräusche  Erschütterungen  Licht  Wärmestrahlen und ähnliche Umwelteinwirkungen.,Wenn man eigenen Pkw-Waschplatz benutzt  muss ein  Ölabscheider vorhanden sein  der verhindert  dass Öle in die Kanalisation kommen.,
Was sind Immissionen im Sinne des Bundes-Immissionsschutz- gesetzes?,Dieses Gesetz wurde zum Schutz für Menschen  Tiere  Pflanzen und Umwelt vor schädlichen Umwelteinwirkun- gen und Gefahren durch geräuschvolle und luftverunreini- gende Anlagen gemacht. Es regelt u.a.,Emissionen sind die von Anlagen (Betriebsstätten  Maschinen  Fahrzeuge und Grundstücke) ausgehenden Luftverunreinigungen  Geräusche  Erschütterung  Licht  Wärme  Strahlen und ähnliche Erscheinungen,Kühlflüssigkeiten,Eine jährliche Untersuchungsfrist.,Kaltreiniger,Reifendruck prüfen ,Immissionen sind die auf Menschen  Tiere und Pflanzen  Boden  Wasser  Atmosphäre sowie Kultur und sonstige Sachgüter einwirkenden Luftverunreinigungen  Geräusche  Erschütterungen  Licht  Wärmestrahlen und ähnliche Umwelteinwirkungen.,Wenn man eigenen Pkw-Waschplatz benutzt  muss ein  Ölabscheider vorhanden sein  der verhindert  dass Öle in die Kanalisation kommen.,
Was sind Emissionen?,Dieses Gesetz wurde zum Schutz für Menschen  Tiere  Pflanzen und Umwelt vor schädlichen Umwelteinwirkun- gen und Gefahren durch geräuschvolle und luftverunreini- gende Anlagen gemacht. Es regelt u.a.,Emissionen sind die von Anlagen (Betriebsstätten  Maschinen  Fahrzeuge und Grundstücke) ausgehenden Luftverunreinigungen  Geräusche  Erschütterung  Licht  Wärme  Strahlen und ähnliche Erscheinungen,Kühlflüssigkeiten,Eine jährliche Untersuchungsfrist.,Kaltreiniger,Reifendruck prüfen ,Altöl,Wenn man eigenen Pkw-Waschplatz benutzt  muss ein  Ölabscheider vorhanden sein  der verhindert  dass Öle in die Kanalisation kommen.,
Auch bei der Autowäsche kann man etwas für die Umwelt tun. Was ist zu raten?,Am besten man fährt das Auto in Waschstraßen. Diese  Anlagen fangen nicht nur die Schadstoffe wie Öl  Fett und Teere auf  sondern halten das Waschwasser nach Reinigung desselben in einem Kreislauf,Bundesimmissionsschutzgesetz (BimSchG) ,Kühlflüssigkeiten,Eine jährliche Untersuchungsfrist.,Kaltreiniger,Reifendruck prüfen ,Altöl,Wenn man eigenen Pkw-Waschplatz benutzt  muss ein  Ölabscheider vorhanden sein  der verhindert  dass Öle in die Kanalisation kommen.,
Welche Rechtsgrundlagen zum Schutz der Umwelt muss ein ToderM-Betrieb beachten?,Am besten man fährt das Auto in Waschstraßen. Diese  Anlagen fangen nicht nur die Schadstoffe wie Öl  Fett und Teere auf  sondern halten das Waschwasser nach Reinigung desselben in einem Kreislauf,Bundesimmissionsschutzgesetz (BimSchG) ,Kühlflüssigkeiten,Abfallgesetz (AbfG) ,Kaltreiniger,Wasserhaushaltsgesetz (WHG).,Altöl,Das zuständige Gewerbeaufsichtsamt.,
Welche überwachungsbedürf- tigen Reststoffe fallen in einem Taxi- oder Mietwagenbetrieb an?,Batteriesäuren,Altreifen,Kühlflüssigkeiten,Öl- und fettverschmierte Betriebsmittel.,Kaltreiniger,Lacke,Altöl,Das zuständige Gewerbeaufsichtsamt.,
Welche Behörde ist für Lärmschutzmessungen z. B. auf Betriebshöfen zuständig?,Batteriesäuren,Altreifen,Kühlflüssigkeiten,Öl- und fettverschmierte Betriebsmittel.,Kaltreiniger,Lacke,Altöl,Das zuständige Gewerbeaufsichtsamt.,