Welche Beförderungen unterliegen dem Personenbeförderungsrecht? Unterliegt diesen Gesetzen jede Personenbeförderung?,Handelsgesetz,Nur die entgeltliche oder geschäftsmäßige Beförderung von Personen mit Straßenbahnen. mit Oberleitungsomnibussen (Obussen) und mit Kf,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Welchen speziellen Gesetzen und die unterliegt Verordnungen Beförderung von Personen im Taxi- und Mietwagenverkehr?,Personenbeförderungsgesetz (PBefG).,Handelsgesetz,Verordnung über den Betrieb von Kraftunternehmen im Personenverkehr (BOKraft).,Fahrererlaubnis-Verordnung (FeV).,Taxenordnungen,Taxitarife.,Pflege-. 1.95%,Freistellungsverordnung.,
Welche Rechtsfolge ergibt sich. wenn eine Personenbeförderung unter die Freistellungsverordnung PBefG fällt?,Handelsgesetz,Bedarf es keiner Genehmigung und,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,müssen keinerlei Pflichten. welche sich aus dem PBefG ergeben. erfüllt werden.,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Nennen Sie die 3 wichtigsten Formen der Freistellungsverkehre!,Freigestellte,Handelsgesetz,Schüler,Arbeitslosen-. 3%,Behinderten,Pflege-. 1.95%,das Betriebsvermögen mehr als 87.500 € oder,und Kindergartenfahrten.,
Taxen und Mietwagen sind Kraftfahrzeuge. Was versteht man darunter?,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Kraftfahrzeuge sind Straßenfahrzeuge. die durch eigene Maschinenkraft bewegt werden. ohne an Schienen oder Fahrleitung gebunden zu sein.,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Was versteht das Personenbeförderungsrecht unter dem Begriff Pkw?,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Pkw (Personenkraftwagen) sind Kfz. die nach ihrer Bauart und Ausstattung zur Beförderung von nicht mehr als 9 Personen (inkl. Fahrzeugführer) geeignet und bestimmt sind,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Welche Voraussetzungen müssen durch den Unternehmer erfüllt sein. damit eine Genehmigung für Taxi- und Mietwagenverkehr erteilt werden kann?,Unfallversicherung,muss zuverlässig sein.,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,muss fachlich geeignet sein,
Wie wird die persönliche Zuverlässigkeit des Unternehmers beim Genehmigungsverfahren geprüft?,VZR (Verkehrszentralregister. Flensburg,VZR (Verkehrszentralregister. Flensburg,polizeiliches Führungszeugnis.,Auszug aus dem Handelsregister,Bescheinigungen des Finanzamtes,Bescheinigung der Krankenkasse,Bescheinigung der Betriebsgenossenschaft,Dienst- und Prüfungszeugnisse ein,
Wann sind wirtschaftliche und finanzielle Leistungsfähigkeit des Betriebes gewährleistet? Welche Mittel sind bei der Prüfung der wirtschaftlichen und finanziellen Leistungsfähigkeit des Betriebes nachzuweisen?,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Wenn die zur Aufnahme und ordnungsgemäßen Führung des Betriebes erforderlichen finanziellen Mittel zur Verfügung stehen,Arbeitslosen-. 3%,wenn der Unternehmer folgende Eigenmittel aufbringen kann: 2.250.00 Euro für das erste Fahrzeug und 1.250.00 Euro für jedes weitere Fahrzeug,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,
a) Für wie lange wird eine Taxiund Mietwagen Genehmigung bei erstmaliger Erteilung höchstens gewährt? b) Wird die Genehmigung nach Ablauf automatisch verlängert? c) Für wie lange wird eine Taxiund Mietwagen Genehmigung höchstens wiedererteilt?,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),a) 2 Jahren für Taxen 5 Jahre für Mietwagen.,Arbeitslosen-. 3%,b) Nein. es bedarf eines besonderen Antrags.,das Betriebsvermögen mehr als 87.500 € oder,c) 5 Jahre.,Unfallversicherung,
Nennen Sie 3 Einflussgrößen. welche die Genehmigungsbehörde bei ihrer Beurteilung der Funktionsfähigkeit des örtlichen Taxigewerbes zu berücksichtigen hat. Welche weiteren vom Unternehmer unabhängigen Voraussetzungen müssen zur Genehmigungserteilung für Taxi- und Mietwagenverkehr erfüllt sei, die Nachfrage nach Beförderungsaufträgen im T-Verkehr,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),die Entwicklung der Ertrags- und Kostenlage der Unternehmen unter Einbeziehung der Einsatzzeit.,Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,die Anzahl und Ursachen der Geschäftsaufgaben.,
Welches ist die für den Taxi- und Mietwagenunternehmer zuständige Genehmigungs- und Aufsichtsbehörde?,Handelsgesetz,Straßenverkehrsbehörde einer kreisfreien Stadt oder eines Landkreises.,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,
Wer erteilt die Genehmigung?,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Genehmigungsbehörde - untere Straßenverkehrsbehörde,Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,
Benennen Sie 4 Stufen des personenbeförderungsrechtlichen Genehmigungsverfahrens!,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Antrag des Antragstellers.,Anhörung diverser (verschiedener) Anhörstellen.,Prüfung des Antrages und der Stellungsnahmen (Meinun- gen) der Anhörstellen durch die Genehmigungsbehörde,Prüfung des Antrages und der Stellungsnahmen (Meinun- gen) der Anhörstellen durch die Genehmigungsbehörde,
Nennen Sie die gesetzlich ausgeführten Anhörstellen!,Gemeinde des Betriebssitzes. die Gewerbeaufsichtsbehörde. die IHK. die Fachgewerkschaften. die Verkehrsverbände.,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Unfallversicherung,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,Pflege-. 1.95%,Handelsgesetz,
Was muss man tun. um die erforderliche Genehmigung zu erlangen?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Bei der zuständigen Genehmigungsbehörde muss ein Antrag auf Genehmigung gestellt werden.,Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Unfallversicherung,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,Pflege-. 1.95%,Handelsgesetz,
Antrag der soll Was Genehmigung enthalten? au,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Namen. Wohn- und Betriebssitz des Antragstellers. • bei natürlichen Personen auch Geburtsdatum und –ort. • Hinweisen auf weitere oder frühere Genehmigung auch die Verkehrsform des Gelegenheitsverkehrs (also Taxiund Mietwagenunternehmen),Angaben über die Zahl. die Art und das Fassungsvermögen der zu verwendenden Fahrzeuge.,Unterlagen sind beizufügen. die ein Urteil über die Zuverlässigkeit. die fachliche Eignung des Antragstellers und die Sicherheit und Leistungsfähigkeit des Betriebes ermöglichen.,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,Pflege-. 1.95%,Handelsgesetz,
Nennen Sie die wesentlichen Inhalte der Genehmigungsurkunde!,die amtlichen Kennzeichen der einzusetzenden Kfz.,Hinweis auf das PBefG und die zu seiner Durchführung erlassenen Vorschriften.,Bezeichnung der Aufsichtsbehörde.,das Betriebsvermögen mehr als 87.500 € oder,Name. Wohn- und Betriebssitz des Unternehmers.,Bezeichnung der Verkehrsart. für die die Genehmigung erteilt wird.,Geltungsdauer der Genehmigung.,etwaige Bedingungen und Auflagen,
Welchen sachlichen Umfang hat die Genehmigung? Taxi - Mietwagen,Angabe des amtlichen Kennzeichens der einzelnen Kfz.,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Die Nummer. unter der die Taxi-Genehmigung erteilt ist. kann gleichzeitig auch die von der Genehmigungsbehörde erteilte Ordnungsnummer sein.,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,Pflege-. 1.95%,Handelsgesetz,Angabe des amtlichen Kennzeichens der einzelnen Kfz. Eine Ordnungsnummer wird nicht erteilt,
Was ist Mietwagenverkehr?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,Pflege-. 1.95%,Beförderung von Personen mit Pkw. die nur im Ganzen zur Beförderung gemietet werden und mit denen der Unternehmer Fahrten ausführt. deren Zweck. Ziel und Ablauf der Mieter bestimmt und die nicht Verkehr mit Taxen sind,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,
Was ist unter Taxiverkehr zu verstehen?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Beförderung von Personen mit Pkw. die der Unternehmer an behördlich zugelassenen Stellen bereithält und mit denen er Fahrten zu einem vom Fahrgast bestimmten Ziel ausführt.,Pflege-. 1.95%,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Welche Rücksichten ergeben sich hieraus für den Mietwagenunternehmer?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Mietwagenunternehmer dürfen nicht in dem den Taxen vorbehaltenen Bereich tätig werden.,Arbeitslosen-. 3%,Pflege-. 1.95%,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Hat auch der Mietwagenunternehmer eine Beförderungs - und Betriebspflicht?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Nein. Mietwagenverkehr ist kein öffentlicher Personennahverkehr. deshalb hat er diese Pflichten nicht.,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Ist der Mietwagenunternehmer an bestimmte Tarife gebunden?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Handelsgesetz,Nein. Er ist in der Gestaltung der Tarife frei,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Was ist unter Betriebssitz zu verstehen?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Der Betriebssitz ist der geschäftliche Standort innerhalb seiner Betriebssitzgemeinde (Straße und Hausnummer).,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Wer bestimmt im Mietwagenverkehr. wohin die Fahrt geht. der Unternehmer oder der Fahrgast?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Fahrgast bestimmt das Ziel. Zweck und Ablauf der Fahrt.,das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Können Mietwagen von verschiedenen Fahrgästen gesplittert angemietet werden?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Handelsgesetz,Nein. da ein Mietwagen nur im Ganzen angemietet werden kann. das heißt mit allen Fahrgastplätzen.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Was ist beim Bereithalten von Mietwagen zu beachten?,darf weder allein noch in Verbindung mit anderen Tatsachen geeignet sein. zur Verwechslung mit dem Taxiverkehr zu führen,Arbeitslosen-. 3%,Pflege-. 1.95%,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Beförderungsaufträge dürfen nur ausgeführt werden. die am Wohn- oder Betriebssitz des Unternehmers eingegangen sind,Nach Ausführung des Beförderungsauftrages hat der MFahrer unverzüglich zum Betriebssitz zurückzukehren. es sei denn. er hat vor der Fahrt von seinem Wohn- oder Betriebssitz oder während der Fahrt durch Funk einen neuen Beförderungsauftrag erhalten.,
Was ist der Zweck dieser gesetzlichen Bestimmung?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Diese gesetzlichen Bestimmungen dienen dem Schutz des Taxi-Gewerbes.,das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Darf der Mietwagenunternehmer Werbung betreiben?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Ja. Aber die Art der Werbung darf auf keinen Fall weder allein noch in Verbindung mit anderen Tatsachen geeignet sein. zur Verwechslung mit dem Taxiverkehr zu führen.,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Dürfen im Mietwagenverkehr bei Leerfahrten Fahrgäste aufgenommen werden?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Nein. Nach Ausführung des Beförderungsauftrags hat der Mietwagen unverzüglich zum Betriebssitz zurückzukehren,Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Gibt es von dem Verbot. bei Leerfahrten Fahrgäste aufzunehmen. Ausnahmen?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Ja. wenn er vor der Fahrt von seinem Wohn- oder Betriebssitz oder während der Fahrt durch Funk einen neuen Beförderungsauftrag erhalten hat. Dann muss der Mietwagen die den Auftrag erteilende Stelle unverzüglich anfahren.,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Dürfen Mietwagen Zeichen und Merkmale führen. die für Taxen verwendet werden?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Nein. Den Taxen vorbehaltene Zeichen und Merkmale dürfen für Mietwagen nicht verwendet werden.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Was hat der Mietwagen neben dem Verbot. den Taxen vorbehaltene Zeichen und Merkmale zu verwenden. noch zu beachten. da mit es nicht zu Verwechslungen mit dem Taxiverkehr kommt?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Die Annahme. Vermittlung und Ausführung von Beförderungsaufträge. auch das Bereithalten des Mietwagens dürfen weder allein noch in ihrer Verbindung geeignet sein. zur Verwechslung mit dem Taxiverkehr zu führen.,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Was muss der Mietwagenunternehmer bezüglich der Beförderungsaufträge beachten?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Der Unternehmer hat den Eingang des Beförderungsauftrages buchmäßig zu erfassen und die Aufzeichnungen 1 Jahr aufzubewahren.,das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Welchen 3 Pflichten unterliegt der Verkehr mit Taxis (innerhalb des Pflichtfahrgebietes)? Erläutern Sie kurz diese 3 Begriffe,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Die Beförderungspflicht (Grundsätzlich muss jedermann befördert werden.). • die Betriebspflicht (Taxi muss evt. rund um die Uhr eingesetzt werden.).,die Tarifpflicht (Nur das vom Fahrpreisanzeiger ausgewiesene Entgelt wird verlangt.),Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Handelsgesetz,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
In welchem Zusammenhang stehen Beförderungspflicht und Tarifgebiet? Wo besteht für den Taxifahrer die Beförderungspflicht?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Handelsgesetz,Die Beförderungspflicht für Taxen besteht nur für Fahrten innerhalb des Geltungsbereiches der festgesetzten Beförderungsentgelte (Pflichtfahrbereich),Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Wo dürfen Taxen bereitgestellt werden?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,An den behördlich zugelassenen Stellen in der Gemeinde des Betriebssitzes des Unternehmens,Handelsgesetz,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Wie sind Taxistände gekennzeichnet?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Handelsgesetz,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Durch ein rot-blau-weißes Zeichen der StVO mit der Aufschrift TAXI,
Dürfen Mietwagen auf öffentlich. Straßen oder Plätzen bereitgestellt werden?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Nein (Rückkehrpflicht).,Handelsgesetz,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Welche der nachfolgenden Pflichten und Verbote betreffen den Mietwagenbetrieb nicht?,Rückkehrpflicht,Verbot der Verwendung von dem Taxi vorbehaltenen,Zeichen und Merkmalen,Handelsgesetz,x) Tarifpflicht,Aufzeichnungspflicht,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
