Welche Beförderungen unterliegen dem Personenbeförderungsrecht? Unterliegt diesen Gesetzen jede Personenbeförderung?,Handelsgesetz,Nur die entgeltliche oder geschäftsmäßige Beförderung von Personen mit Straßenbahnen. mit Oberleitungsomnibussen (Obussen) und mit Kf,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Kann ein Taxiunternehmer auch außerhalb der öffentlichen Halteplätze im Pflichtfahrgebiet winkende Fahrgäste aufnehmen?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Handelsgesetz,Sozialversicherungsausweis mit Lichtbild,Ja. wenn er frei ist. muss er den Fahrgast aufnehmen.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Darf der Taxifahrer winkende Fahrgäste außerhalb der Betriebsgemeinde aufnehmen?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Handelsgesetz,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Grundsätzlich nicht - Genehmigungsbehörden können Ausnahmen bewilligen.,
Kann der Taxiunternehmer Beförderungsaufträge nur an Taxistandplätzen entgegennehm,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Der Taxiunternehmer kann Beförderungsaufträge auch während einer Fahrt oder am Betriebssitz entgegennehmen,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Handelsgesetz,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Wer darf ein Taxi- oder Mietwagengewerbe betreiben?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Jeder Unternehmer. der eine entsprechende Genehmigungsurkunde hat,Handelsgesetz,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Ein Fahrer findet die Abholadresse nicht. Welche Art von Schäden kann der Kunde geltend machen?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Handelsgesetz,So genannte Vermögensschäden. z.B.: Einbußen. die dem Kunden entstehen. wenn er ein Termin verpasst.,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Was versteht das Gesetz unter der Bezeichnung Öffentlicher Personennahverkehr (ÖPNV)?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Beförderung von Personen mit Straßenbahnen. Obussen und Kfz im Linienverkehr. die Verkehrsnachfrage im Stadt-. Vorort- oder Regionalverkehr zu befriedigen,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Handelsgesetz,Sozialversicherungsausweis mit Lichtbild,das Taxi ist öffentliches Verkehrsmittel. weil sie die o.g. Verkehrsarten ersetzen. ergänzen oder verdichten,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Welche Begründung gibt es. um das Taxi. im Unterschied zum Mietwagen. auch bei der Wahrnehmung von Gelegenheitsverkehrsaufgaben als ÖPNVVerkehrsmittel einzustufen?,Das Taxi (wie der Straßenbahn-. Obus- und Linienverkehr mit Kfz) unterliegt einer Beförderungs-. Betriebsund Tarifpflicht. also staatlichen Auflagen. die ein öffentliches Verkehrsmittel kennzeichnen.,Arbeitslosen-. 3%,Pflege-. 1.95%,Der Mietwagen unterliegt diesen Pflichten nicht.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Sozialversicherungsausweis mit Lichtbild,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
In welcher Gemeinde darf das Taxi bereitgehalten werden?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Handelsgesetz,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Nur in der der Unternehmer seinen Betriebssitz hat.,
Dürfen Fahrten auch außerhalb der Betriebssitzgemeinde ausgeführt werden?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Welche Regeln hat der Mietwagenunternehmer nach dem PBefG zu beachten?,Annahme. Vermittlung und Ausführung von Beförderungsaufträgen. das Bereithalten des Mietwagens sowie Werbung für Mietwagenverkehr dürfen weder allein noch in ihrer Verbindung geeignet sein. zur Verwechslung mit dem Taxenverkehr zu führen.,Arbeitslosen-. 3%,Nur Beförderungsaufträge dürfen ausgeführt werden. die Nur Beförderungsaufträge dürfen ausgeführt werden. die ,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Aufzeichnungspflicht,Sozialversicherungsausweis mit Lichtbild,Rückkehrpflicht.,Den Taxen vorbehaltene Zeichen und Merkmale dürfen für Mietwagen nicht verwendet werden,
Was verstehen Sie unter Rückkehrpflicht,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Nach Ausführung des Beförderungsauftrages hat d. Mietwagen unverzüglich zum Betriebssitz zurückzukehren.,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Zu welcher besonderen Verkehrsform gehört die Beförderung im Taxi- und Mietwagenverkehr?,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Zum Gelegenheitsverkehr.,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),
Was versteht man unter Gelegenheitsverkehr?,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Die Beförderung von Personen mit Kfz. der nicht Linienverkehr ist.,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Was versteht man unter Linienverkehr?,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Eine eingerichtete regelmäßige Verkehrsbindung zwischen bestimmten Ausgangs- und Endpunkten. auf der Fahrgäste an bestimmten Haltestellen ein- und aussteigen können.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Gibt es neben dem Taxi- und Mietwagenverkehr weitere Formen des Gelegenheitsverkehrs?,Pflege-. 1.95%,Ausflugsfahrten und Ferienziel-Reisen,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Verkehr mit Mietomnibussen.,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Welche der nachfolgenden Verkehre fallen nicht unter den Oberbegriff „Gelegenheitsverkehr mit Kraftfahrzeugen“?,Ausflugsfahrten,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Mietomnibusverkehr,Sozialversicherungsausweis mit Lichtbild,(x) Schülerfahrten,Sozialversicherungsausweis mit Lichtbild,Mietwagenverkehr,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Ist die Krankenbeförderung eine Form des Gelegenheitsverkehrs?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Nein. Krankenbeförderungen stellen keine Form des Gelegenheitsverkehrs nach PBefG dar.,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Wer ist Unternehmer im Sinne des PBefG?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Wenn der Verkehr in eigenen Namen. unter eigener Verantwortung und für eigene Rechnung betrieben wird und die dafür erforderliche Genehmigung erteilt wurde.,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Welches sind die Sachgebiete. aus denen der Taxi- und Mietwagenunternehmer seine Kenntnisse bei der Eignungsprüfung nachweisen muss,Personenbeförderungsrecht einschließlich der Tarifbildung im Taxi- und Mietwagenverkehr.,Arbeitsrecht.,Straßenverkehrsrecht,Sozialversicherungsrecht.,Grundzüge des Beförderungsvertragsrechts.,Grundzüge des Steuerrechts.,kaufmännische und finanzielle Führung des Betriebes.,technischen Betrieb und der Betriebsdurchführung,
Wie viele Taxigenehmigungen können einem Unternehmer erteilt werden?,Jedem Antragsteller wird nur eine Genehmigung erteilt. weil nicht mehr Genehmigungen erteilt werden können. als Antragsteller vorhanden sind,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Was ist unter Übertragung der Genehmigung zu verstehen?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Der Altunternehmer scheidet aus dem Genehmigungsverfahren aus - Konzession geht völlig auf den ande,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Was hat die Genehmigungsbehörde bei der Übertragung einer Genehmigung im Hinblick auf den zukünftigen Unternehmer zu prüfen?,Was hat die Genehmigungsbehörde bei der Übertragung einer Genehmigung im Hinblick auf den zukünftigen Unternehmer zu,Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,zuverlässig ist.,fachlich geeignet ist.,die Sicherheit und Leistungsfähigkeit des Betriebes gewährleistet.,
Was ist hinsichtlich der Genehmigungsurkunde während der Fahrt zu beachten?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Die Genehmigungsurkunde oder den Auszug aus der Genehmigung auf jeder Fahrt mitzuführen und zuständigen Personen auf Verlangen zur Prüfung auszuhändigen.,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Für welches räumliche Gebiet wird die Genehmigung erteilt?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Die Genehmigung wird nur für das Gebiet der Betriebssitzgemeinde erteilt,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Was ist der Genehmigungsbereich?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Genehmigungsbereich ist das Gebiet der Betriebssitzgemeinde.,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Was versteht man unter Pflichtfahrbereic,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Der Pflichtfahrbereich ist der Geltungsbereich der behördlich festgesetzten Taxitarife.,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Wie unterscheidet sich der Genehmigungsbereich vom Pflichtfahrbereich?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),der Genehmigungsbereich umfasst ein größeres Gebiet als der Pflichtfahrbereich.,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,im Genehmigungsbereich dürfen Fahrgäste befördert werden.,Sozialversicherungsausweis mit Lichtbild,im Pflichtfahrbereich müssen Fahrgäste befördert werden,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,
Gibt es Fahrzeuge mit einer Genehmigung für den Taxen- und Mietwagenverkehr?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Ja. Aber nur für Gemeinden bis zu 50.000 Einwohnern. sofern die höhere Verwaltungsbehörde keine Einschränkung verfügt hat.,
Wer regelt in welchen Vorschriften die Einzelheiten der Taxistandorte und ihre Benutzung? Was ist eine Droschkenordnung?,Droschkenordnung regelt die Ordnung auf Taxiständen sowie Einzelheiten des Dienstbetriebes,Pflege-. 1.95%,das Bereithalten von Taxis in Sonderfällen einschließlich eines Bereitschaftsdienstes.,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,die Annahme und Ausführung von fernmündlichen Fahraufträgen,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),den Fahr- und Funkbetrieb.,die Kranken- und Behindertenbeförderung.,
Von wem werden diese Taxiordnungen erlassen?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Von der Landesregierung oder durch Ermächtigung von der Genehmigungsbehörde.,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Stadtplan,
Welche Bedeutung hat ein Auszug aus der Genehmigung?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Neben der Genehmigungsurkunde erhält jeder Unternehmer für jedes Fahrzeug einen Auszug aus der Urkunde. der während der Fahrt stets mitzuführen ist.,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Stadtplan,
Sie sind Mietwagenunternehmer in einer Kleinstadt mit 40.000 Einwohnern. Muss sich Ihr angehender Fahrer einer Ortskenntnisprüfung unterziehen?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Nein. Fahrer braucht keine Ortskenntnisprüfung abzulegen. weil Mietwagenfahrer nur dann die erforderliche Ortskenntnis besitzen müssen. wenn der Ort des Betriebssitzes 50.000 und mehr Einwohner hat.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Stadtplan,
Ihr Fahrer zieht in die Kreisstadt mit 53.000 Einwohnern um und kündigt bei Ihnen. Er fragt Sie. ob er denn ohne Weiteres dann bei einem Mietwagenunternehmen in der Kreisstadt Mietwagen fahren darf. Was antworten Sie ihm?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Wenn ein Mietwagenfahrer im anderen Ort tätig wird als in dem. für den er die Ortskenntnisse nachgewiesen hat (bzw. in dem der Nachweis wegen der Einwohnerzahl nicht nötig war). hat er die erforderlichen Kenntnisse für diesen Ort nachzuweisen. weil der Ort des Betriebssitzes mehr als 50.000 Einwohner hat.,
Ihr Fahrer zieht in die Kreisstadt mit 53.000 Einwohnern um und kündigt bei Ihnen. Er fragt Sie. ob er denn ohne Weiteres dann bei einem Mietwagenunternehmen in der Kreisstadt Mietwagen fahren darf. Was antworten Sie ihm?,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Pflege-. 1.95%,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,Auf vorherige Bestellung dürfen Fahrten auch von anderen Gemeinden aus durchgeführt werden,Sozialversicherungsausweis mit Lichtbild,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Wenn ein Mietwagenfahrer im anderen Ort tätig wird als in dem. für den er die Ortskenntnisse nachgewiesen hat (bzw. in dem der Nachweis wegen der Einwohnerzahl nicht nötig war). hat er die erforderlichen Kenntnisse für diesen Ort nachzuweisen. weil der Ort des Betriebssitzes mehr als 50.000 Einwohner hat.,