Welche Versicherungen bilden die gesetzliche Sozialversicherung und wer hat die Beiträge zu zahlen? Was versteht man unter dem Begriff “Sozialversicherung‘? Nennen Sie die jeweiligen Prozentsätze.,Renten-. 19.9%,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Welche Schadensrisiken deckt eine Vollkaskoversicherung ab?,Der Versicherungsschutz beginnt mit der Einlösung des Versicherungsscheines durch Zahlung des Beitrages und der Versicherungssteuer.,Die Teilkaskoversicherung deckt Schäden am eigenen Kfz ab. wenn diese durch Diebstahl. Brand. Glas- und Wildschaden. Entwendung sowie durch unmittelbare Einwirkung von Naturereignissen entstanden sind,Unternehmer muss den Unfall binnen 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen anzeigen. • Unternehmer muss eine Kopie dieser Unfallanzeige dem Amt für Arbeitsschutz übersenden,Der Unternehmer aus dem Beförderungsvertrag.,gesetzliche Unfallversicherung für alle Arbeitnehmer zur Versicherung von Wege- und Arbeitsunfällen,Die Kfz-Haftpflichtversicherung,die Fahrzeugversicherung.,Eine Vollkaskoversicherung deckt neben den Schaden der Teilkaskoversicherung auch solche Schaden ab. die durch eigene Unfallverursachung entstanden wurde,
Wird man durch den Abschluss einer Kaskoversicherung regelmäßig von jeder Eigenleistung befreit?,gesetzliche Unfallversicherung für alle Arbeitnehmer zur Versicherung von Wege- und Arbeitsunfällen,Die Kfz-Haftpflichtversicherung,die Fahrzeugversicherung.,Nein. in den meisten Fällen muss der Versicherungsnehmer den ihm entstanden Schaden bis zu einer bestimmten Summe. die zuvor mit der Versicherung vereinbart wurde. selbst tragen (Selbstbeteiligung).,Der Versicherungsschutz beginnt mit der Einlösung des Versicherungsscheines durch Zahlung des Beitrages und der Versicherungssteuer.,Die Teilkaskoversicherung deckt Schäden am eigenen Kfz ab. wenn diese durch Diebstahl. Brand. Glas- und Wildschaden. Entwendung sowie durch unmittelbare Einwirkung von Naturereignissen entstanden sind,Unternehmer muss den Unfall binnen 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen anzeigen. • Unternehmer muss eine Kopie dieser Unfallanzeige dem Amt für Arbeitsschutz übersenden,Der Unternehmer aus dem Beförderungsvertrag.,
Wer haftet nach den Grundsätzen der Gefährdungshaftung für Schaden. die durch ein Kfz verursacht werden?,gesetzliche Unfallversicherung für alle Arbeitnehmer zur Versicherung von Wege- und Arbeitsunfällen,Die Kfz-Haftpflichtversicherung,die Fahrzeugversicherung.,Nein. in den meisten Fällen muss der Versicherungsnehmer den ihm entstanden Schaden bis zu einer bestimmten Summe. die zuvor mit der Versicherung vereinbart wurde. selbst tragen (Selbstbeteiligung).,Der Versicherungsschutz beginnt mit der Einlösung des Versicherungsscheines durch Zahlung des Beitrages und der Versicherungssteuer.,Die Teilkaskoversicherung deckt Schäden am eigenen Kfz ab. wenn diese durch Diebstahl. Brand. Glas- und Wildschaden. Entwendung sowie durch unmittelbare Einwirkung von Naturereignissen entstanden sind,Der Halter,Der Unternehmer aus dem Beförderungsvertrag.,
Welche Versicherungen sind für den Taxi- und Mietwagenunternehmer gesetzlich vorgeschrieben?,Unfallversicherung bei der Berufsgenossenschaft,Kfz-Haftpflichtversicherung,die Fahrzeugversicherung.,Nein. in den meisten Fällen muss der Versicherungsnehmer den ihm entstanden Schaden bis zu einer bestimmten Summe. die zuvor mit der Versicherung vereinbart wurde. selbst tragen (Selbstbeteiligung).,Der Versicherungsschutz beginnt mit der Einlösung des Versicherungsscheines durch Zahlung des Beitrages und der Versicherungssteuer.,Die Teilkaskoversicherung deckt Schäden am eigenen Kfz ab. wenn diese durch Diebstahl. Brand. Glas- und Wildschaden. Entwendung sowie durch unmittelbare Einwirkung von Naturereignissen entstanden sind,Der Halter,Der Unternehmer aus dem Beförderungsvertrag.,
Muss der Unternehmer. wenn er fahrlässig den Unfall eines Arbeitnehmers verursacht hat. diesem den Schaden ersetzen?,Unfallversicherung bei der Berufsgenossenschaft,Kfz-Haftpflichtversicherung,die Fahrzeugversicherung.,Nein. in den meisten Fällen muss der Versicherungsnehmer den ihm entstanden Schaden bis zu einer bestimmten Summe. die zuvor mit der Versicherung vereinbart wurde. selbst tragen (Selbstbeteiligung).,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,Die Teilkaskoversicherung deckt Schäden am eigenen Kfz ab. wenn diese durch Diebstahl. Brand. Glas- und Wildschaden. Entwendung sowie durch unmittelbare Einwirkung von Naturereignissen entstanden sind,Der Halter,Der Unternehmer aus dem Beförderungsvertrag.,
In welchem Umfang haften Arbeitskollegen für verschuldete Unfälle gegenüber Arbeitskollegen,Unfallversicherung bei der Berufsgenossenschaft,Kfz-Haftpflichtversicherung,die Fahrzeugversicherung.,Nein. in den meisten Fällen muss der Versicherungsnehmer den ihm entstanden Schaden bis zu einer bestimmten Summe. die zuvor mit der Versicherung vereinbart wurde. selbst tragen (Selbstbeteiligung).,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,Arbeitskollegen sind untereinander im gleichen Umfange von der Haftung befreit wie der Unternehmer.,Der Halter,Der Unternehmer aus dem Beförderungsvertrag.,
Für welche Schäden kommt die Kfz-Haftpflichtversicherung auf,Unfallversicherung bei der Berufsgenossenschaft,Kfz-Haftpflichtversicherung,Für Personen-. Sach- und Vermögensschäden. die beim Betrieb des Kfz bei Dritten entstanden sind.,Nein. in den meisten Fällen muss der Versicherungsnehmer den ihm entstanden Schaden bis zu einer bestimmten Summe. die zuvor mit der Versicherung vereinbart wurde. selbst tragen (Selbstbeteiligung).,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,Arbeitskollegen sind untereinander im gleichen Umfange von der Haftung befreit wie der Unternehmer.,Der Halter,Der Unternehmer aus dem Beförderungsvertrag.,
Gibt es Schadenshöchstgrenzen. für die die Versicherung aufkommt?,Unfallversicherung bei der Berufsgenossenschaft,Ja. erstreckt sich die Haftpflicht des Beförderungs unternehmers auch auf Schäden der beförderten Personen,Kfz-Haftpflichtversicherung,Für Personen-. Sach- und Vermögensschäden. die beim Betrieb des Kfz bei Dritten entstanden sind.,Nein. in den meisten Fällen muss der Versicherungsnehmer den ihm entstanden Schaden bis zu einer bestimmten Summe. die zuvor mit der Versicherung vereinbart wurde. selbst tragen (Selbstbeteiligung).,Ja. die jeweilige Schadenshöchstgrenze hängt von dem abgeschlossenen Versicherungsvertrag ab.,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,Arbeitskollegen sind untereinander im gleichen Umfange von der Haftung befreit wie der Unternehmer.,
Wonach richtet sich die Schadenshöchstgrenze?,Unfallversicherung bei der Berufsgenossenschaft,Ja. erstreckt sich die Haftpflicht des Beförderungs unternehmers auch auf Schäden der beförderten Personen,Kfz-Haftpflichtversicherung,Für Personen-. Sach- und Vermögensschäden. die beim Betrieb des Kfz bei Dritten entstanden sind.,Nach der im Versicherungsvertrag festgelegten Haftpflichtdeckungssumme.,Ja. die jeweilige Schadenshöchstgrenze hängt von dem abgeschlossenen Versicherungsvertrag ab.,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,Arbeitskollegen sind untereinander im gleichen Umfange von der Haftung befreit wie der Unternehmer.,
Wie hoch ist die Mindestversicherungssumme (Mindestdeckungssumme)?,2.5 Mio. € bei Pkw bis zu 9 Plätzen für Personenschäden. Sind 3 oder mehr Personen betroffen. beträgt sie 7.5 Mio€,500.000 € für Sachschäden und,50.000 €. für Vermögensschäden.,Für Personen-. Sach- und Vermögensschäden. die beim Betrieb des Kfz bei Dritten entstanden sind.,Nach der im Versicherungsvertrag festgelegten Haftpflichtdeckungssumme.,Ja. die jeweilige Schadenshöchstgrenze hängt von dem abgeschlossenen Versicherungsvertrag ab.,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,Arbeitskollegen sind untereinander im gleichen Umfange von der Haftung befreit wie der Unternehmer.,
Können auch höhere Haftpflichtdeckungssummen vereinbart werden?,Unfallversicherung bei der Berufsgenossenschaft,Ja. erstreckt sich die Haftpflicht des Beförderungs unternehmers auch auf Schäden der beförderten Personen,Kfz-Haftpflichtversicherung,Für Personen-. Sach- und Vermögensschäden. die beim Betrieb des Kfz bei Dritten entstanden sind.,Nach der im Versicherungsvertrag festgelegten Haftpflichtdeckungssumme.,Ja. die jeweilige Schadenshöchstgrenze hängt von dem abgeschlossenen Versicherungsvertrag ab.,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,Ja. dies ist grundsätzlich möglich und zur Minderung des Schadensrisikos unbedingt zu empfehlen.,
Kann man gegenüber den beförderten Personen eine Haftung für Personenschäden ausschließen?,Unfallversicherung bei der Berufsgenossenschaft,Ja. erstreckt sich die Haftpflicht des Beförderungs unternehmers auch auf Schäden der beförderten Personen,Kfz-Haftpflichtversicherung,Nein. ein Ausschluss von der Haftung von Personenschäden ist grundsätzlich unzulässig und nichtig; lediglich die Haftung für Sachschäden darf gegenüber jeder beförderten Person auf 1.000 € begrenzt werden.,Nach der im Versicherungsvertrag festgelegten Haftpflichtdeckungssumme.,Ja. die jeweilige Schadenshöchstgrenze hängt von dem abgeschlossenen Versicherungsvertrag ab.,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,Ja. dies ist grundsätzlich möglich und zur Minderung des Schadensrisikos unbedingt zu empfehlen.,
Wie muss man sich im Falle eines Schadensereignisses verhalten?,Unfallversicherung bei der Berufsgenossenschaft,Ja. erstreckt sich die Haftpflicht des Beförderungs unternehmers auch auf Schäden der beförderten Personen,Kfz-Haftpflichtversicherung,Nein. ein Ausschluss von der Haftung von Personenschäden ist grundsätzlich unzulässig und nichtig; lediglich die Haftung für Sachschäden darf gegenüber jeder beförderten Person auf 1.000 € begrenzt werden.,Nach der im Versicherungsvertrag festgelegten Haftpflichtdeckungssumme.,Der Schadensfall muss der Versicherung schriftlich umgehend angezeigt werden. Der Versicherungsnehmer ist verpflichtet. alles Erforderliche zur Aufklärung und Schadensminderung zu tun.,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,Ja. dies ist grundsätzlich möglich und zur Minderung des Schadensrisikos unbedingt zu empfehlen.,
Sollte im Fall eines verschulde- ten Unfalls ein Schadensersatzanspruch teilweise oder vollkommen anerkannt werden?,Unfallversicherung bei der Berufsgenossenschaft,Ja. erstreckt sich die Haftpflicht des Beförderungs unternehmers auch auf Schäden der beförderten Personen,Davon ist ohne vorherige Rücksprache mit der Versicherung dringend abzuraten. weil die Gefahr besteht. dass die Versicherung Regress nimmt,Nein. ein Ausschluss von der Haftung von Personenschäden ist grundsätzlich unzulässig und nichtig; lediglich die Haftung für Sachschäden darf gegenüber jeder beförderten Person auf 1.000 € begrenzt werden.,Nach der im Versicherungsvertrag festgelegten Haftpflichtdeckungssumme.,Der Schadensfall muss der Versicherung schriftlich umgehend angezeigt werden. Der Versicherungsnehmer ist verpflichtet. alles Erforderliche zur Aufklärung und Schadensminderung zu tun.,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,Ja. dies ist grundsätzlich möglich und zur Minderung des Schadensrisikos unbedingt zu empfehlen.,
Durch Unachtsamkeit des Unternehmers wird ein Fahrgast verletzt und sein Gepäck beschädigt. Was kann der Fahrgast verlangen?,Unfallversicherung bei der Berufsgenossenschaft,Ja. erstreckt sich die Haftpflicht des Beförderungs unternehmers auch auf Schäden der beförderten Personen,Davon ist ohne vorherige Rücksprache mit der Versicherung dringend abzuraten. weil die Gefahr besteht. dass die Versicherung Regress nimmt,Ausgleich der Folgen der Körperverletzung,Nach der im Versicherungsvertrag festgelegten Haftpflichtdeckungssumme.,Ersatz der Beschädigung des Gepäckes.,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,Ja. dies ist grundsätzlich möglich und zur Minderung des Schadensrisikos unbedingt zu empfehlen.,
Darf der TuM-Unternehmer die Haftung für Sachschäden gegenüber dem Fahrgast ausschli,Unfallversicherung bei der Berufsgenossenschaft,Ja. erstreckt sich die Haftpflicht des Beförderungs unternehmers auch auf Schäden der beförderten Personen,Davon ist ohne vorherige Rücksprache mit der Versicherung dringend abzuraten. weil die Gefahr besteht. dass die Versicherung Regress nimmt,Ausgleich der Folgen der Körperverletzung,Nach der im Versicherungsvertrag festgelegten Haftpflichtdeckungssumme.,Ersatz der Beschädigung des Gepäckes.,Haftungsausschlüsse für Sachschäden sind nur unter bestimmten Voraussetzungen zulässig.,Ja. dies ist grundsätzlich möglich und zur Minderung des Schadensrisikos unbedingt zu empfehlen.,